;H1;H2;H3;H4;H5;H6
PrimEnergy;0;0;0;0;0;0
FinEnHTr;0.308505495592616;0.184430183294002;0.134723582092903;0.269081884698324;0.091657788284886;0.011601066037269
FinEnHRes;0.348371650326699;0.197366403210452;0.122990391090826;0.231165196529773;0.084705859579919;0.015400499262331
Comp;0.2369641353519;0.164593704534734;0.13065812841942;0.294353929095456;0.134517221831217;0.038912880767274
