2050;PrimEnergy;FinEnHTr;FinEnHRes;AllComp;C;G;I;X;Tot_uses;Y;M
PrimEnergy;0;44242.6193545396;11383.007158294;0;0;0;0;0;0;0;54493.5895682952
FinEnHTr;153.10194974216;0;650.245785139412;45260.1052731716;28423.0541356468;0;0;10564.3416356212;0;0;36650.618540094
FinEnHRes;75.37984036832;1825.070409077;17007.8592459048;64273.426091944;34647.2882842824;0;0;28410.5496016012;0;0;65044.2871418312
AllComp;0;0;0;0;0;0;0;0;0;0;0
ktoe;0;0;0;0;0;0;0;0;0;0;0
