2035;PrimEnergy;FinEnHTr;FinEnHRes;AllComp;C;G;I;X;Tot_uses;Y;M
PrimEnergy;0;40445.5835327859;10406.08294879;0;0;0;0;0;0;0;49816.784382132
FinEnHTr;139.9622759156;0;594.43971906242;41375.745722906;25983.701396338;0;0;9657.677785042;0;0;33505.15126179
FinEnHRes;68.9105137712;1668.437329445;15548.193164868;58757.28566404;31673.752886484;0;0;25972.270039342;0;0;59461.989079892
AllComp;0;0;0;0;0;0;0;0;0;0;0
ktoe;0;0;0;0;0;0;0;0;0;0;0
