CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;-0.6597531;-8.6528347;0;-8.6528347;Nan;Nan;Nan;0;0.2819490;0.6703189;0.0155119
Natural_gas;-0.7031297;-5.0236695;0;-5.0236695;-4.995991;Nan;Nan;0;0.0003923;1.0627729;0.5517736
Coal;180.58095;-9.4957725;0;-9.4957725;-4.995991;Nan;Nan;0;14.29215;-63.529368;-45.048662
AllFuels;1.7714773;-3.865321;0;-3.865321;-4.995991;Nan;Nan;0;0.9390373;0.2021702;0.0110924
Electricity;6.1740233;-4.4542884;0;-4.4542884;-4.995991;Nan;Nan;0;5.1851745;1.3437633;-5.2514305
HeatGeoSol_Th;18.498713;-4.8878495;0;-52.009683;-4.995991;Nan;Nan;Nan;4.4571766;-99.967273;-99.967273
Heavy_Industry;2.0674323;-1.9263133;0;1.6287729;-1.5188806;-1.9788681;3.6232595;-1.7425196;2.1243972;0.4265645;0.0430694
Buildings_constr;-1.0162632;5.9149278;0;-37.779487;Nan;Nan;5.9152315;Nan;0.0483896;-99.997392;-99.997392
Work_constr;-1.0643359;4.9082486;0;-39.061932;0.7077243;Nan;5.9661255;Nan;0.1033284;-99.99941;-99.99941
Automobile;-0.7131550;1.7266515;0;0.5227880;0.0312021;Nan;5.2523225;1.3284079;0.0788575;-0.2818034;-0.1747769
Load_PipeTransp;4.3686129;0.4622115;0;0.4622115;-7.8110808;-8.2416785;Nan;0;3.3743901;-1.9073953;-4.0636549
PassTransp;1.287419;-1.6801788;0;-1.6801788;-1.6801788;Nan;Nan;Nan;1.1892177;-1.2710552;-1.2389287
Agri_Food_industry;0.3194667;-0.2785449;0;0.3564572;-0.6185199;-1.0827128;4.5706321;-0.3182940;0.7849213;0.1023483;0.2319745
Property_business;-1.0814415;1.021769;0;-44.485635;0.7296914;0.2592012;5.9892395;Nan;0.0203904;-99.999972;-99.999972
OthSectors;-1.118394;1.6154565;0;-0.3039361;0.6218326;0.1518462;5.875749;1.3695179;0.1075569;-0.4557280;-0.7019095
