CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;238.02114;865.53394;347.10648;41158.507;0;0;0;28;19.66248;69.395521;0.9864762
Natural_gas;226412.95;33.36966;252.31424;36476.153;11524.391;0;0;3336.2683;0.0319450;1.3159752;0.5745116
Coal;931.98334;3022.5783;164.55276;7297.8692;27.941969;3.087e-15;-3.721e-16;103.5648;91.090658;0.4464950;0.3031780
AllFuels;739.11019;38402.709;454.05869;34375.335;29613.347;0;0;16932;59.900988;0.9045886;0.4600863
Electricity;1133.0132;43112.336;1008.5722;1611.1443;13540.753;0;0;5279.7936;10.210837;0.1181746;0.0350778
HeatGeoSol_Th;921.775;3297.9505;1027.4916;0;1171.9762;0;0;0;70.495293;0;0
Heavy_Industry;1060.5896;176362.92;1000;128533.53;33844.313;20038.723;137.84955;93567.491;7.4978807;1.353777;0.6733257
Buildings_constr;1058.6451;54615.985;1000;3.349e-16;0;0;52623.588;0;0.2612690;0;0
Work_constr;1058.6778;232811.45;1000;3.228e-16;12573.51;0;154143.57;0;0.6591669;0;0
Automobile;22073.341;3101.6292;21043.918;2540.9808;2542.8357;0;612.602;1769.7164;0.5819327;1.4682355;0.7140343
Load_PipeTransp;231.90336;370576.36;176.45045;11055.387;4258.5048;18434.709;0;8041.4979;22.459323;0.0358332;0.0224842
PassTransp;99.393997;185386.63;87.518192;5459.5421;190846.18;0;0;0;10.490926;0.0259308;0.0252754
Agri_Food_industry;1079.319;205986.72;1000;43965.459;114504.98;156.51656;1239.2814;31756.22;3.7430728;0.4069009;0.2000322
Property_business;83.170597;4063247.6;78.108601;2.736e-16;2777637.3;197814.21;115697.19;0;0.1765515;0;0
OthSectors;1061.2785;2741156.1;1000;336720.82;573314.11;511086.69;236233.13;323266.37;0.9700562;0.2260127;0.1151154
