Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0;51.9
GOS_byAgent;480.6;84.3;188.4;0
NetCompWages_byAgent;0;0;907.4;0
InsuranceContrib_byAgent;0;379.3;0;0
Production_Tax_byAgent;0;60.3;0;0
Energ_Tax_byAgent;0;20.4;0;0
Carbon_Tax_byAgent;0;30;0;0
OtherIndirTax_byAgent;0;41.9;0;0
VA_Tax_byAgent;0;165.3;0;0
Property_income;-28.8;-27.5;80.2;-23.9
Unemployment_transfers;0;-38.7;38.7;0
Pensions;0;-351;351;0
Other_social_transfers;0;-122.2;122.2;0
ClimPolicyCompens;0;0;0;0
Other_Transfers;-110.2;70.7;30.3;9.2
Income_Tax;0;213;-213;0
Corporate_Tax;-54.3;54.3;0;0
Other_Direct_Tax;0;24;-24;0
Disposable_Income;287.4;604;1481.2;37.1
FC_byAgent;0;599.4;1274.9;0
GFCF_byAgent;324.3;81.6;129.5;0
Tot_FC_byAgent;324.3;681;1404.4;0
NetLending;-36.9;-77;76.8;37.1
NetFinancialDebt;2133.1;1720.4;-3588;-265.6
;;;;
Units;1000000 k€;;;
