;Oil;Gas_heating;Coal_lignite;Electricity;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_transport;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Food_industry;Construction;ManufacturedGoods;Compo;C;G;I;X;Tot_uses;Y;M
Oil;46061;2197.8;175.8;406.1;927.9;587;262.8;567.6;2105.3;52.8;232.1;9918.2;4044.5;9779.5;2917.2;421.8;735.1;1407.9;8831.2;12992.949907085966;0.0;0.0;20251.2;0;32906.12490503642;83718.4
Gas_heating;1542.4;3561.3;1;638.1;205;182.6;796.3;572.6;2736.2;777.6;356.3;62.5;11.1;12.2;174.6;2692.5;464.2;892.6;7590.3;8501.084128348903;0.0;0.0;5319.5;0;3275.722898277083;36037.1
Coal_lignite;23.3;449.4;3859.9;1606.1;3916.8;0.4;165.8;137;379.5;17.7;17.3;0;0;0;2;283.8;104.7;29.6;238.5;19.395366013013938;0.0;0.0;33.2;0;682.8080893827786;8160.9
Electricity;305.7;1380.6;3.7;0;162;715;446.7;261.6;2260.6;603.7;597.4;834.3;0;0;658.9;2002.5;855.5;1778.3;13663.9;15882.042280326694;0.0;0.0;4705.229569122627;0;53161.6870338983;1061.0
Steel_Iron;83.5;2;15.3;16.6;948.5;645.2;15.9;222.3;214.5;13.8;2112.5;7.7;5.4;0.4;11;9.2;4386;7322.4;1275.7;0.0;0.0;66.7;18009.9413467847;0;17738.468661591447;17845.2
NonFerrousMetals;126.9;3.1;23.3;25.3;6352.5;980.5;11.5;349.9;326;20.9;3210.4;11.7;8.3;0.6;16.7;13.9;1733.2;9454.9;7737.5;225.78861580805938;0.0;114.5;12238.898707322123;0;24491.713086008353;18657.9
Cement;4.1;2.6;0.2;21.2;32.9;7.3;908.2;480.2;77.9;14.1;118.7;13;1.5;0.3;33.2;30.5;2359.5;490.2;151.6;514.4406017178799;0.0;0.0;48.924976605813974;0;5334.62240208632;517.8
OthMin;27.8;17.8;1.3;145.3;225.6;50.4;374.8;2223.7;534.2;97.1;814.3;88.9;10.2;2.1;227.5;209.3;14924.1;2089.8;3577.4;3420.2788617390083;0.0;0.0;3316.359744634808;0;21492.43429501224;10247.6
ChemicalPharma;874.7;258.1;6;2102.1;95.8;472.5;38.8;356.7;18783.3;782.5;1378.9;38.8;60.4;18.5;5360.3;1062.8;2504.9;10982.7;11739.1;21987.219580812638;19544.9;0.0;67136.96383392831;0;73695.69372009675;95631.6
Paper;39.5;2.7;0.2;21.6;3.4;16.9;24.7;226.8;1260.5;2951.6;182.1;31;48.2;1.8;145.8;1486.3;538;3175.2;10152.9;2098.5516666096432;0.0;0.0;10486.205926441206;0;16627.017079196394;13618.2
Auto_transport;29.3;2.1;0.3;17.2;6.4;31.5;4.1;37.6;47.1;12.3;36423.8;292.5;914;904.5;164.5;59.1;151.8;1445.1;15924.4;90361.16921822145;145.08956172437394;35796.66040747435;121518.05177182535;0;170206.883398704;107610.8
LandTransp;173.5;6.5;0.9;53;7.6;37.5;10;92.2;278.7;43;88.3;17596.8;79.6;81.7;106.3;251.9;381.9;415.5;40749.5;30260.33102083621;5233.7;0.0;2224.0886937963824;0;91320.956597662;2886.9
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;1.7;2852.5;0;0;0;0;0;249.4;699.6360610839687;0.0;0.0;22636.040941544747;0;26501.32074707944;0.0
AirTransp;41.9;1.9;0.2;15.3;3.2;15.8;2.9;26.8;91.3;9;57;37.8;51.9;1779.6;5.9;59.6;104.4;139.2;4052;11029.15542047026;5.6;0.0;16235.689857268644;0;26062.200915834117;7339.3
AgriForest_Fish;0;1.4;0;11.3;0;0;0;0;48.7;112.2;0;0;0;0;12337.3;30256.9;498.4;2784.4;2033.4;24891.83152852921;0.0;1690.4829021193905;19815.182982201073;0;79921.43843203878;14246.5
Food_industry;54.3;3.4;0.5;27.9;12.3;60.8;4.4;40.8;1785.7;231;108.9;17.1;78.9;156.5;4774.7;21157.5;410.7;2601.4;26846.9;85171.51728129282;160.7;0.0;26327.24795296661;0;132447.37063479243;39612.6
Construction;809.6;356.9;7.8;1984.2;162;79.5;19.9;126.1;333.5;101.9;909.1;197.6;301.5;130.6;318.1;269.8;47312.4;2336.1;23995.2;13191.84853429509;0.0;279181.85178887984;0.0;0;362393.187687979;0.0
ManufacturedGoods;1152;214.2;42.8;1325.3;1738.6;3742.5;360.2;2205.1;5825.7;2312.2;29006;993.2;260.4;1127.5;2966.7;5528.3;31826.2;68465.8;57083.2;107365.42655113983;2599.384141766864;54916.317934737985;76984.5665786459;0;272919.87713355746;188147.4
Compo;9270.2;676.3;80;7169.8;1128.8;12730.8;574.4;6979.2;25458.6;5118.8;36017.9;23534;13715.8;4785.4;7978;26339.1;78186.8;57081;962780.9;968719.0797631908;706398.0431798674;208308.2;238675.2735353111;0;3358280.7972320397;208896.9
