;Crude_oil;Natural_gas;Coal;AllFuels;Electricty;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;AirTransp;Agri_Food_industry;Property_business;OthSectors;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;40735.5686039622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40735.5686039622;600;40135.5686039622
Natural_gas;0.260347372619026;0;0.122876309586257;403.118925934194;4604.23218633646;1757.67586009243;5186.32328476919;28.8328914066;225.6140274038;155.2015700527;29.4141678107611;864.695146831493;65.7779312673384;0;3078.13883051696;182.4555897742;4247.84037594936;8464.48827344301;0;0;0;29294.1922852707;3088.69176131381;26205.5005239569
Coal;0;0;2140.43100606945;0;0;0;2140.43100606945;0;0;0;0;0;0;0;2.21371927049744;0;0;0;0;0;0;4283.0757314094;2140.43100606946;2142.64472533994
AllFuels;0;0;0;0;808.685272298322;269.514727701678;910.474710729886;61.9427214966;562.3358453999;44.4360577686;5.74026273785456;11380.422773732;847.615234442691;1625.17008682408;2288.16075231342;50.2972013113;266.729154191471;18478.80282675;0;0;0;37600.3276276978;35010.3082834096;2590.0193442882
Electricty;23.6782674445853;51.9861552247866;11.1634869682228;707.01419637335;0;1558.17853027453;6083.19155956017;14.24568534;314.9101990659;212.7528101202;40.3214141248065;690.95165911137;1027.6496178159;0;2478.66023225634;254.6700083929;15082.4439312986;13324.9505285433;0;0;5338.38801149076;47215.1562934057;47215.1562934057;0
HeatGeoSol_Th;0;0;0;0;0;0;801.12571890024;0;43.7022823446;0;0;0;0;0;187.338643824878;35.3423315237;2684.53674016081;2155.57902809098;0;0;0;5907.62474484521;5907.62474484521;0
Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229207.565043605;0
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55287.5680075845;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;244566.219700413;0
Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthTranspEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88797.2332932399;0
Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2140;0;0;0;2140;398756.9;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;224894.23486499;0;0;0;224894.23486499;216893.3;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6385.58252351795;0;0;0;6385.58252351795;13434.0234;0
Agri_Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114532.675193537;0;0;0;114532.675193537;253005.795379939;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2777786.23094733;0;0;0;2777786.23094733;4010059.62864439;0
OthSectors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3272473.74716771;0
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
