Kappas;2030;2040;2050
Crude_oil;0.0704442;0.0704442;0.0704442
Liquid_fuels;0.0108238;0.0108238;0.0108238
Gas_fuels;0.006198288;0.006198288;0.006198288
Solid_fuels;0.0045661;0.0045661;0.0045661
Elec_heating;0.141137694749435;0.144933527491463;0.128339909170917
Steel_Iron;0.052567;0.052567;0.052567
NonFerrousMetals;0.0445561;0.0445561;0.0445561
Cement;0.0806921;0.0806921;0.0806921
OthMin;0.0431429;0.0431429;0.0431429
ChemicalPharma;0.0518909;0.0518909;0.0518909
Paper;0.0711208;0.0711208;0.0711208
Auto_indus;0.0620509990014324;0.0623100450568711;0.0621173782849261
OthEquip;0.0275268927400182;0.0275384528537272;0.0274837436312868
Electronics;0.172590845044106;0.17306089247928;0.174145223676306
Food_industry;0.0421230381106988;0.0424285957903313;0.0422593854326247
OthManuf;0.0394523593045392;0.0398450782891938;0.039557559676954
LandTransp;0.109460372303616;0.109460372303616;0.109460372303616
NavalTransp;0.094580155906126;0.100672805060641;0.114146298898356
AirTransp;0.114397380490049;0.117308572457;0.11902504550307
AgriForest_Fish;0.178178299395715;0.180468619317881;0.182192968739489
Construction;0.0340782474085165;0.0325075469499593;0.0309027657412652
Property_business;0.244166684964576;0.250733434541621;0.22202665437146
Compo;0.108842171884169;0.111779020163905;0.114318388469736
