CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;0.5635053;-8.9110311;0;-8.9110311;Nan;Nan;Nan;0;0.1057570;-0.5540260;-0.0017936
Natural_gas;0.6378979;-5.5599963;0;-5.5599963;-4.995991;Nan;Nan;0;0.0000688;-0.1964246;-0.0305388
Coal;178.93937;-10.367522;0;-10.367522;-4.995991;Nan;Nan;0;14.640208;-63.30547;-44.814616
AllFuels;2.3413031;-4.1372307;0;-4.1372307;-4.995991;Nan;Nan;0;0.6284439;-0.1033843;-0.2649509
Electricity;6.5386129;-4.9749171;0;-4.9749171;-4.995991;Nan;Nan;0;5.1586433;1.6370135;-5.5189224
HeatGeoSol_Th;18.112959;-5.5427753;0;-52.340136;-4.995991;Nan;Nan;Nan;4.8869133;-99.967166;-99.967166
Heavy_Industry;3.2120813;-3.3153796;0;2.1525602;-0.4639910;-1.1090269;4.6116206;-2.6637951;2.0521281;0.8483998;0.3115938
Buildings_constr;0.6192056;5.8565479;0;-37.813782;Nan;Nan;5.8568437;Nan;0.0448564;-99.997434;-99.997434
Work_constr;0.6583307;4.6844885;0;-39.191908;0.6820331;Nan;5.8160836;Nan;0.0937278;-99.99942;-99.99942
Automobile;0.7262137;0.1452719;0;1.3578977;0.9450004;Nan;6.094431;-1.3151975;0.0724034;-0.5790053;-0.9700107
Load_PipeTransp;5.9578263;-0.3394464;0;-0.3394464;-7.8561141;-8.4532459;Nan;0;3.0890147;-2.526174;-5.4599644
PassTransp;3.0470259;-1.781269;0;-1.781269;-1.781269;Nan;Nan;Nan;1.0374286;-2.9569275;-2.8834345
Agri_Food_industry;1.6719591;-0.9564039;0;2.3664129;-0.0165717;-0.6645071;5.081855;-1.637752;0.7443175;0.2885238;1.1073184
Property_business;0.2512942;1.0918501;0;-44.447711;1.0878939;0.4328011;6.2426404;Nan;0.0185472;-99.999972;-99.999972
OthSectors;0.6370212;0.6525945;0;1.7421335;0.7528458;0.0999243;5.8905073;-0.8058178;0.0934624;-0.4973655;0.2272946
