Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0; 17.3
GOS_byAgent; 0.9; 0.9; 0.9;0
NetCompWages_byAgent;0;0; 1;0
InsuranceContrib_byAgent;0; 1;0;0
Production_Tax_byAgent;0; 1.6;0;0
Energ_Tax_byAgent;0;-5.2;0;0
Carbon_Tax_byAgent;0; 1.342e+25;0;0
OtherIndirTax_byAgent;0; 1.1;0;0
VA_Tax_byAgent;0; 3.4;0;0
Property_income;0;0;0;0
Unemployment_transfers;0; 9.5; 9.5;0
Pensions;0;0;0;0
Other_social_transfers;0;0;0;0
ClimPolicyCompens;0;-1.342e+25; 1.342e+25;0
Other_Transfers; 2.4; 2.4; 2.4; 2.4
Income_Tax;0;-0.1;-0.1;0
Corporate_Tax; 1.7; 1.7;0;0
Other_Direct_Tax;0; 0.8; 0.8;0
Disposable_Income; 0.5; 3.8; 2.2; 24.3
FC_byAgent;0; 0.7; 2.2;0
GFCF_byAgent; 10; 0.6; 2.2;0
Tot_FC_byAgent; 10; 0.7; 2.2;0
NetLending; 238.4;-16.8; 2.2; 24.3
NetFinancialDebt;0;0;0;0
;;;;
Units;0.01 k€;;;
