IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;345.7;345.7;345.7;375.8;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;345.7;362.9;
Natur;598.3;485.3;598.3;598.3;598.3;598.3;599.5;761.5;686;686;686;686;692.2;686;686;1091.8;585.9;585.9;222.9;
Coal ;412.4;412.4;878.8;412.4;699.1;709;975.2;412.4;936;1151.3;412.4;412.4;741.6;936;771.3;956.3;490.4;490.4;547.1;
AllFu;869.9;869.9;869.9;869.9;779.2;860.6;1104.7;1351.1;1342.5;1510.3;1370.8;1370.8;1088.7;1342.5;1261;1750;1402.6;1402.6;596.7;
Elect;870.9;870.9;870.9;870.9;1187.6;870.9;758.3;1304.3;1252.2;870.9;870.9;870.9;944.2;1252.2;1299.6;2179;1806.3;1806.3;788.2;
HeatG;937.2;937.2;937.2;937.2;937.2;937.2;937.2;937.2;940;937.2;937.2;937.2;940;940;940;1053.9;1134.6;1134.6;930.1;
Heavy;1345.7;1345.7;1345.7;1345.7;1345.7;1345.7;1345.7;1345.7;1345.7;1345.7;1345.7;1345.7;1345.7;1345.7;1345.7;1492.8;1492.8;1492.8;1341;
Build;1080.7;1080.7;1080.7;1080.7;1080.7;1080.7;1080.7;1080.7;1080.7;1080.7;1080.7;1080.7;1080.7;1080.7;1080.7;1216.8;1216.8;1216.8;1076.1;
Work_;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1082;1181.9;1181.9;1181.9;1077.1;
Autom;26498.3;26498.3;26498.3;26498.3;26498.3;26498.3;26498.3;26498.3;26498.3;26498.3;26498.3;26498.3;26498.3;26498.3;26498.3;27523.1;30492.4;45115.2;26791.6;
Load_;129.2;129.2;129.2;129.2;129.2;129.2;129.2;129.2;129.2;129.2;129.2;129.2;129.2;129.2;129.2;179.6;179.6;179.6;142.6;
PassT;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;94.2;95.8;95.8;95.8;100.7;
Agri_;1475.4;1475.4;1475.4;1475.4;1475.4;1475.4;1475.4;1475.4;1475.4;1475.4;1475.4;1475.4;1475.4;1475.4;1475.4;1558.7;1558.7;1558.7;1480.2;
Prope;84.3;84.3;84.3;84.3;84.3;84.3;84.3;84.3;84.3;84.3;84.3;84.3;84.3;84.3;84.3;85.4;85.4;85.4;84.3;
OthSe;1025;1025;1025;1025;1025;1025;1025;1025;1025;1025;1025;1025;1025;1025;1025;1092.2;1092.2;1092.2;1008.2;
;;;;;;;;;;;;;;;;;;;;
w;91910.1;63861.9;45615;79441.4;63861.9;63861.9;53044.2;39268.5;21705.7;71727.2;219641.1;49769.5;35552.9;24210;34461.8;;;;;
pL;133356.5;92660;66184.8;115265;92660;92660;76964.3;56976.5;31493.7;104072.2;318687.1;72212.8;51585.3;35127.4;50002.1;;;;;
pK;969.9;969.9;969.9;969.9;969.9;969.9;969.9;969.9;969.9;969.9;969.9;969.9;969.9;969.9;969.9;;;;;
pY;241;229470.7;926.5;743.2;1136.9;918.8;1072.5;1076.1;1077.1;22393.3;235.4;101.1;1093.9;84.3;1080.1;;;;;
pM;347.1;252.3;164.6;454.1;1008.6;1027.5;1000;1000;1000;21043.9;176.5;87.5;1000;78.1;1000;;;;;
p;344.9;461.8;387.7;606.7;1132.3;918.8;1041.6;1076.1;1077.1;21777.7;233.7;100.7;1077;84.3;1071.1;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
