CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;240.95209;863.08748;347.10648;41042.171;0;0;0;28;19.486288;68.551538;0.9863055
Natural_gas;229470.71;33.181223;252.31424;36270.174;11524.391;0;0;3336.2683;0.0316215;1.2995788;0.5711845
Coal;926.53062;2993.4643;164.55276;7227.5751;27.941969;0;0;103.5648;91.438716;0.4492361;0.3044693
AllFuels;743.24852;38294.09;454.05869;34278.107;29613.347;0;0;16932;59.590394;0.9018302;0.4588164
Electricity;1136.9038;42877.417;1008.5722;1602.3651;13540.753;0;0;5279.7936;10.184306;0.1185166;0.0349788
HeatGeoSol_Th;918.77431;3275.2414;1027.4916;0;1171.9762;0;0;0;70.92503;0;0
Heavy_Industry;1072.4838;173865.01;1000;129195.98;34206.839;20216.547;139.16436;92690.189;7.4256116;1.3594634;0.6751330
Buildings_constr;1076.1366;54585.881;1000;3.347e-16;0;0;52594.578;0;0.2577359;0;0
Work_constr;1077.1115;232314.88;1000;3.221e-16;12570.302;0;153925.31;0;0.6495663;0;0
Automobile;22393.339;3053.4132;21043.918;2562.0904;2566.0649;0;617.50334;1723.5454;0.5754787;1.4638596;0.7083461
Load_PipeTransp;235.43454;367619.27;176.45045;10967.168;4256.4246;18392.204;0;8041.4979;22.173948;0.0356071;0.0221570
PassTransp;101.12071;185196.02;87.518192;5453.9287;190649.95;0;0;0;10.339137;0.0254880;0.0248545
Agri_Food_industry;1093.8703;204586.52;1000;44846.007;115198.53;157.17829;1245.34;31335.872;3.7024691;0.4076577;0.2017791
Property_business;84.291159;4066066.3;78.108601;2.738e-16;2787514.8;198156.73;115973.8;0;0.1747083;0;0
OthSectors;1080.1191;2715182.1;1000;343631.36;574060.58;510821.73;236266.06;316329.25;0.9559617;0.2259182;0.1161926
