2030;PrimEnergy;FinEnHTr;FinEnHRes;AllComp;C;G;I;X;Tot_uses;Y;M
PrimEnergy;0;38788.07036;9979.627993;0;0;0;0;0;0;0;47775.22709
FinEnHTr;134.2264379;0;570.0787981;39680.11329;24918.85516;0;0;9261.893457;0;0;32132.06613
FinEnHRes;66.08647035;1600.062575;14911.00777;56349.33488;30375.72087;0;0;24907.89228;0;0;57025.15862
AllComp;0;0;0;0;0;0;0;0;0;0;0
ktoe;0;0;0;0;0;0;0;0;0;0;0
