IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;0;0;0;8.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Natur;65.1;0.2;65.1;65.1;65.1;65.1;64.8;45;52.5;52.5;52.5;52.5;51.8;52.5;52.5;36.5;0.2;0.2;0.2;
Coal ;81.1;81.1;255.4;81.1;368.6;310.1;233.6;81.1;240.3;196.7;81.1;81.1;293;240.3;283.6;258.6;81.1;81.1;81.5;
AllFu;1.1;1.1;1.1;1.1;66.8;53.8;39.6;30.1;30.1;25.7;29.7;29.7;39.1;30.1;32.5;24.9;0.8;0.8;1.5;
Elect;6.1;6.1;6.1;6.1;6.1;6.1;6;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.2;
HeatG;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;17.9;18;
Heavy;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;
Build;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
Work_;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
Autom;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;
Load_;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;8.7;
PassT;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2.8;
Agri_;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;1.3;
Prope;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;
OthSe;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;
;;;;;;;;;;;;;;;;;;;;
w;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;;;;;
pL;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;;;;;
pK;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;;;;;
pY;0.5;0.5;178.9;2.3;6.4;18;3.1;0.5;0.5;0.6;5.8;2.9;1.6;0.2;0.5;;;;;
pM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
p;0;0.2;81.5;1.5;6.2;18;1.8;0.5;0.5;0.3;5.7;2.8;1.3;0.2;0.5;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
