CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;240.70973;860.24352;347.10648;40906.933;0;0;0;28;19.488907;68.620723;0.9863220
Natural_gas;229250.59;33.018532;252.31424;36092.338;11524.391;0;0;3336.2683;0.0316241;1.3012655;0.5715642
Coal;926.40065;2975.2858;164.55276;7183.6838;27.941969;0;0;103.5648;91.446444;0.4494220;0.3045262
AllFuels;742.86236;38167.822;454.05869;34165.081;29613.347;0;0;16932;59.617178;0.9033543;0.4594233
Electricity;1135.8487;42656.863;1008.5722;1594.1229;13540.753;0;0;5279.7936;10.192443;0.1189913;0.0350265
HeatGeoSol_Th;918.16633;3255.1087;1027.4916;0;1171.9762;0;0;0;70.935082;0;0
Heavy_Industry;1071.447;172634.97;1000;128066.25;34024.938;20201.209;131.35193;92765.531;7.4297242;1.3645481;0.6786681
Buildings_constr;1074.9156;51552.062;1000;3.161e-16;0;0;49671.285;0;0.2579435;0;0
Work_constr;1075.8038;221592.86;1000;3.073e-16;12511.815;0;145381.35;0;0.6500745;0;0
Automobile;22367.065;3028.417;21043.918;2536.1589;2552.6577;0;582.89052;1727.2395;0.5758252;1.4706527;0.7129315
Load_PipeTransp;235.13841;364318.6;176.45045;10868.699;4242.2354;18414.909;0;8041.4979;22.196993;0.0357415;0.0221866
PassTransp;100.97487;184388.71;87.518192;5430.1539;189818.87;0;0;0;10.349452;0.0255248;0.0248895
Agri_Food_industry;1092.7637;203558.19;1000;44530.808;114617.92;157.10288;1175.757;31367.339;3.7047427;0.4087538;0.2018814
Property_business;84.244875;4034137.9;78.108601;2.717e-16;2772713.8;198007.97;109464.12;0;0.1746916;0;0
OthSectors;1078.7782;2686999.8;1000;339349.14;571473.85;510850.7;223184.49;316925.52;0.9565280;0.2271496;0.1162576
