IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;-100;-100;-100;-1.3;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;0;-1.3;
Natur;42.4;-100;39.7;49.8;48.3;47.2;50.4;37.7;44.6;43.9;43.1;41.7;42.1;45.3;44.3; 29.7;-100;-100; 0.2;36.4;
Coal ;-100;-100;200.8;-100;320.9;265.8;204.3;-100;222.9;180;-100;-100;267.9;224.3;263.1; 240.6;-100;-100; 81.5;227.6;
AllFu;-100;-100;-100;-100;49.8;37.1;27.3;23.6;23.4;18.7;21.7;20.5;30.3;24;25.4; 18.6;-100;-100; 1.5;18.4;
Elect;-8.5;-5.3;-10.2;-3.7;-100;-5.4;-3.3;0.8;0.7;0.1;-0.5;-1.5;-0.7;1.1;0.4; 0.8;-100;-100; 6.2;0.5;
HeatG;-100;-100;-100;-100;-100;-100;7.5;-100;11.8;-100;-100;-100;10.4;12.3;11.6; 12;-100;-100;0;10.7;
Heavy;-100;-4.4;-9.3;-2.8;-3.8;-4.5;-2.3;1.7;1.6;1.1;0.5;-0.5;0.3;2.1;1.4; 0.7; 0.6; 0.5;-0.9;-0.1;
Build;-100;-100;-100;-100;-100;-100;-100;0.5;-100;-100;-100;-100;-100;0.8;-100;-100;-100; 0.5;0;0.5;
Work_;-8.7;-5.5;-10.4;-3.9;-5;-5.6;-3.5;0.5;0.4;-0.1;-0.7;-1.7;-0.9;0.8;0.1; 0.7;-100; 0.5;0;0.4;
Autom;-100;-5.7;-10.6;-4.1;-5.2;-5.8;-3.7;0.3;0.2;-0.3;-0.9;-1.9;-1.1;0.6;-0.1; 0.7;-100; 0.5;-0.8;0.1;
Load_;-100;3.1;-2.3;4.8;3.7;3;5.3;9.7;9.5;9;8.3;7.3;8.1;10;9.3; 0.7; 0.6;-100; 8.7;8.1;
PassT;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100; 0.7;-100;-100;0;0.7;
Agri_;-100;-4.8;-9.8;-3.2;-4.3;-4.9;-2.8;1.2;1.1;0.6;0;-1;-0.2;1.6;0.9; 0.7; 0.6; 0.5;-0.3;0.4;
Prope;-100;-5.8;-10.7;-4.3;-5.3;-5.9;-3.8;0.2;0;-0.5;-1;-2;-1.3;0.5;-0.2; 0.7; 0.6; 0.5;0;0.5;
OthSe;-8.8;-5.6;-10.5;-4;-5;-5.7;-3.6;0.4;0.3;-0.2;-0.8;-1.8;-1;0.7;0.1; 0.7; 0.6; 0.5;-0.2;0.2;
Labour_income;-9.1;-6;-10.8;-4.4;-5.4;-6.1;-3.9; 0.1;-0.1;-0.6;-1.2;-2.1;-1.4; 0.4;-0.3;;;;;;
Labour_Tax;-9.1;-6;-10.8;-4.4;-5.4;-6.1;-3.9; 0.1;-0.1;-0.6;-1.2;-2.1;-1.4; 0.4;-0.3;;;;;;
Capital_income;-8.8;-5.6;-10.5;-4;-5.1;-5.7;-3.6; 0.4; 0.3;-0.3;-0.8;-1.8;-1; 0.7;0;;;;;;
Production_Tax;-8.8;-5.5; 148.5;-2.3; 0.6; 10.8;-1; 0.5; 0.4;-0.1; 4.5; 0.6; 0.1; 0.5; 0.1;;;;;;
Profit_margin;-9.2;-6;-10.9;-4.5;-5.5;-6.1;-4;0;-0.1;-0.7;-1.2;-2.2;-1.5; 0.3;-0.4;;;;;;
M_value;-9.2;-6;-10.9;-4.5;-5.5;-6.2; 1.3;-0.1;-0.2; 0.3;-1.2;-2.2; 1.6;-0.7; 0.5;;;;;;
Trade_margins;-9.2;-106.8; 61.7;-3.1;-102.7;-99.6;-0.1;-278.5;-103.7; 0.1;-108.7;-101.4; 0.3;-1504.2; 0.1;;;;;;
Transp_margins;-9.2;-5.8; 61.7;-3.1; 0.4; 10.8;-0.1;-129.7;-103.5; 0.1;0;-109.1; 0.3;-56.1; 0.2;;;;;;
SpeMarg_Crude_oil;0;-13.5;0;0;-8.4;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Natural_gas;0;0;0;0;-5.2;0;0;0;0;-5.7;-0.7;0;0;-5.8;0;;;;;;
SpeMarg_Coal;0;-15.1; 53.6;0;-10.1;0;0;0;0;-10.6;-5.8;0;0;-10.7;0;;;;;;
SpeMarg_AllFuels;-9.2;-9;0;0;-3.6;0;0;0;0;-4.1; 1;0;0;-4.3;0;;;;;;
SpeMarg_Electricity;0;-10; 63;-8.9;0;0;0;0;0;-5.2;-0.1;0;0;-5.3;0;;;;;;
SpeMarg_HeatGeoSol_Th;0;-10.6; 61.9;-9.5;-5.3;0;0;0;0;-5.8;-0.8;0;0;-5.9;0;;;;;;
SpeMarg_Heavy_Industry;0;-8.6; 65.5;-7.4;-3.1;0;0;0;0;-3.7; 1.5;0;0;-3.8;0;;;;;;
SpeMarg_Buildings_constr;0;-4.8;0;-3.6; 0.9;0;0;0;0; 0.3; 5.7;0;0; 0.2;0;;;;;;
SpeMarg_Work_constr;0;-4.9; 72.2;-3.7; 0.8; 12;0;0;0; 0.2; 5.5;0;0;0;0;;;;;;
SpeMarg_Automobile;0;-5.4; 71.3;-4.2; 0.2;0;0;0;0;-0.4; 5;0;0;-0.5;0;;;;;;
SpeMarg_Load_PipeTransp;0;-5.9;0;-4.8;-0.3;0;0;0;0;-0.9;0;0;0;-1;0;;;;;;
SpeMarg_PassTransp;0;-6.9;0;-5.7;-1.3;0;0;0;0;-1.9;0;0;0;0;0;;;;;;
SpeMarg_Agri_Food_industry;0;-6.1; 69.9;-5;-0.5; 10.5;0;0;0;-1.1; 4.2;0;0;-1.3;0;;;;;;
SpeMarg_Property_business;0;-4.5; 72.9;-3.3; 1.2; 12.5;0;0;0; 0.6; 6;0;0;-100;0;;;;;;
SpeMarg_Comp;0;-5.1; 71.7;-4; 0.5; 11.7;0;0;0;-0.1; 5.3;0;0;0;0;;;;;;
SpeMarg_C;0;-4.8; 72.4;-3.6; 0.9; 12.1;0;0;0; 0.7;-2.9;0;0;-100;0;;;;;;
SpeMarg_G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_I;0;0;0;0;0;0;0;0;0; 0.5;0;0;0; 0.5;0;;;;;;
SpeMarg_X;0; 0.2; 81.5; 1.5; 6.2;0;0;0;0;-0.8; 5.7;0;0;0;0;;;;;;
VA_Tax;-100; 29.7; 240.6; 18.6; 0.8; 12; 0.7; 0.5; 0.5; 0.7; 0.6; 0.7; 0.7; 0.7; 0.6;;;;;;
Energy_Tax_IC;0;-7.4;0;-6.6;0;0;0;0;0;0;0;0;0;0;0;;;;;;
Energy_Tax_FC;-100;-100;-100;-5;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;;;;;;
ClimPolCompensbySect;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;0;;;;;;
OtherIndirTax;-9.2;-6.6;-11;-5.7;-6.2;-6.1;-1.5;0;-0.1; 0.2;-1.3;-2.2;-0.8; 0.3;-0.3;;;;;;
Carbon_Tax;5.656e+23;3.469e+24;1.960e+24;7.359e+24;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;;;;;;
Supply;-1.3;36.4;227.6;18.4;0.5;10.7;-0.1;0.5;0.4;0.1;8.1;0.7;0.4;0.5;0.2;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Units;0.01k€;;;;;;;;;;;;;;;;;;;;
