IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;254.6;
Natur;131.3;171.6;131.3;131.3;131.3;131.3;131.7;185.3;160.3;160.3;160.3;160.3;162.4;160.3;160.3;270.8;199.2;199.2;73.7;
Coal ;228.4;228.4;248;228.4;149.6;173.4;293.2;228.4;275.9;389.2;228.4;228.4;189.3;275.9;201.7;268.1;272.3;272.3;302.4;
AllFu;596.2;596.2;596.2;596.2;357.8;413.9;554.4;704.5;700.6;803.3;715.8;715.8;549.2;700.6;652;1093.4;1087;1087;357;
Elect;606.6;606.6;606.6;606.6;824.7;606.6;529;905.1;869.2;606.6;606.6;606.6;657.1;869.2;901.9;1518.4;1260.5;1260.5;542.9;
HeatG;581.5;581.5;581.5;581.5;581.5;581.5;581.5;581.5;583.2;581.5;581.5;581.5;583.2;583.2;583.2;655.7;705.7;705.7;574.3;
Heavy;1265.1;1265.1;1265.1;1265.1;1265.1;1265.1;1265.1;1265.1;1265.1;1265.1;1265.1;1265.1;1265.1;1265.1;1265.1;1405.4;1405.4;1405.4;1260.5;
Build;1006.5;1006.5;1006.5;1006.5;1006.5;1006.5;1006.5;1006.5;1006.5;1006.5;1006.5;1006.5;1006.5;1006.5;1006.5;1135;1135;1135;1001.9;
Work_;1006;1006;1006;1006;1006;1006;1006;1006;1006;1006;1006;1006;1006;1006;1006;1100.2;1100.2;1100.2;1001.1;
Autom;25562.6;25562.6;25562.6;25562.6;25562.6;25562.6;25562.6;25562.6;25562.6;25562.6;25562.6;25562.6;25562.6;25562.6;25562.6;26599.3;29470.1;43608.4;25856;
Load_;101.7;101.7;101.7;101.7;101.7;101.7;101.7;101.7;101.7;101.7;101.7;101.7;101.7;101.7;101.7;141.8;141.8;141.8;115;
PassT;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.2;83.6;83.6;83.6;88.7;
Agri_;1365.3;1365.3;1365.3;1365.3;1365.3;1365.3;1365.3;1365.3;1365.3;1365.3;1365.3;1365.3;1365.3;1365.3;1365.3;1443.5;1443.5;1443.5;1370.2;
Prope;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;80.3;80.3;80.3;79.3;
OthSe;958.5;958.5;958.5;958.5;958.5;958.5;958.5;958.5;958.5;958.5;958.5;958.5;958.5;958.5;958.5;1022.2;1022.2;1022.2;941.7;
;;;;;;;;;;;;;;;;;;;;
w;79349.6;55134.5;39381.2;68584.9;55134.5;55134.5;45795.2;33902.1;18739.4;61924.9;189624.9;42968;30694.2;20901.5;29752.2;;;;;
pL;114208.6;79355.6;56681.8;98714.9;79355.6;79355.6;65913.4;48795.6;26971.7;89129.1;272928.9;61844.2;44178.5;30083.7;42822.6;;;;;
pK;907.8;907.8;907.8;907.8;907.8;907.8;907.8;907.8;907.8;907.8;907.8;907.8;907.8;907.8;907.8;;;;;
pY;212.3;13649.3;327.4;423.5;773.1;567.4;966.5;1001.9;1001.1;20997.3;197.1;88.7;996.3;79.3;1001.3;;;;;
pM;242.5;144.4;167.5;268;905.1;922.1;1000;1000;1000;21043.9;176.5;87.5;1000;78.1;1000;;;;;
p;242;152.8;214.3;362.9;779.9;567.4;979;1001.9;1001.1;21017.1;196.6;88.7;996.9;79.3;1001.2;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
