CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;212.29675;990;242.50264;57773.2;0;0;0;77.6;15.807224;66.753865;0.9865910
Natural_gas;13649.267;23.222702;144.42203;37461.639;11318.275;0;0;3891.9622;0.5996636;17.974095;0.9944932
Coal;327.37446;3268.1342;167.46336;7890.7522;29.411357;0;0;103.5648;77.719636;1.2643439;0.55992
AllFuels;423.53965;46809.313;267.9621;29887.187;31170.628;0;0;16932;76.252571;0.7088232;0.3675367
Electricity;773.05516;44587;905.09015;2441.7191;13577.557;0;0;6031.0727;4.462824;0.1591062;0.0661589
HeatGeoSol_Th;567.35708;3496.1363;922.06836;0;1235.1244;0;0;0;58.225588;0;0
Heavy_Industry;966.548;178131.6;1000;105660.31;32720.488;19445.028;112.62051;85503.044;3.9416645;1.2396425;0.6213094
Buildings_constr;1001.917;43655.145;1000;2.393e-16;0;0;42062.146;0;0.1738639;0;0
Work_constr;1001.1293;191714.24;1000;2.376e-16;12160.328;0;123148.11;0;0.4674918;0;0
Automobile;20997.324;2918.9006;21043.918;2160.0701;2391.0675;0;492.73807;1523.8235;0.3535285;1.3845259;0.6749729
Load_PipeTransp;197.11064;355072.03;176.45045;9234.3408;4853.8448;21089.655;0;7299.4709;15.707362;0.0352756;0.0230212
PassTransp;88.702579;191840.35;87.518192;4989.1826;196829.53;0;0;0;7.2576615;0.0256597;0.0250177
Agri_Food_industry;996.34683;201607.36;1000;37936.844;112016.17;153.68134;1003.2972;27944.39;2.1457582;0.3794761;0.1891934
Property_business;79.302287;3855357.6;78.108601;2.322e-16;2667618.3;190682.17;92412.439;0;0.1137796;0;0
OthSectors;1001.3122;2552567.4;1000;286054.25;552361.79;494231.05;188892.06;278086.71;0.6610280;0.2143728;0.1108692
