IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;0;0;0;14.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.3;
Natur;0;0;0;0;0.4;0.2;0.8;0;0;0;0;0;0.5;0;1.3;3.1;0;0;0.3;6.6;
Coal ;0;0;0.8;0;0.5;0;1.1;0;0;0;0;0;0.1;0;0;0;0;0;0;2.6;
AllFu;0;0;0;0;0.7;0.2;1;0.1;0.5;0;10.9;0.7;2;0;2.5;34.1;0;0;6;58.7;
Elect;0;0;0;0.8;0;0.8;3.3;0;0.3;0.1;0.1;0.5;1.7;0.3;12.5;20.6;0;0;3.3;44.4;
HeatG;0;0;0;0;0;0;0.5;0;0;0;0;0;0.1;0;0.7;0.8;0;0;0;2.1;
Heavy;0;0;0.1;0.5;3.3;0.1;55.5;3;20.9;6.5;0.2;0.1;12.3;0.4;82;46;27.3;0.2;107.8;366;
Build;0;0;0;0;0;0;0;1.6;0;0;0;0;0;0;0;0;0;47.7;0;49.3;
Work_;0;0;0;0.2;1;0;0.6;12.9;17.2;0.3;0.1;0;0.5;4.5;19.3;13.4;0;135.5;0;205.6;
Autom;0;0;0;0;0;0;0.1;0;0.1;9.4;0.3;0.1;0.2;0;6.9;63.6;0;21.5;39.4;141.6;
Load_;0;0;0;0;0;0;0.3;0;0.1;0;8.3;2.2;0.2;0.1;22.4;0.7;3;0;0.8;38.2;
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.5;0;0;0;16.5;
Agri_;0;0;0;0;0.1;0;3.2;0.1;0.7;0.1;0;0;86.9;0.2;43;161.7;0.2;1.4;38.3;336;
Prope;0;0;0;0.1;0.2;0;2;1;0.5;0.2;0.8;0.2;0.5;10.2;56.1;214.3;15.3;7.4;0;308.8;
OthSe;0.1;0.1;0.1;3;9.3;0.2;60.8;11.7;62;34.7;17;4.6;40.2;41.6;984.8;564.6;505.2;193.1;261.9;2794.8;
Labour_income;0;0;0;0.2;4.9;0.1;17.4;5.6;49.4;5;17;4.5;26.1;10.9;642.2;;;;;;
Labour_Tax;0;0;0;0.1;2.2;0.1;7.7;2.5;21.7;2.2;7.4;2;11.5;4.8;282.1;;;;;;
Capital_income;0;0.1;0;0.2;5.9;0.1;8.3;1.3;5.6;2.6;6.9;1.8;16.6;56.9;184.7;;;;;;
Production_Tax;0;0;0;0.1;1.1;0;2.5;0.5;2.2;0.6;1;0.2;-5.2;22.6;34.5;;;;;;
Profit_margin;0;0;0;0.3;4.9;0.1;6.9;3.5;10.5;-0.6;0.2;0;6.6;153.2;181;;;;;;
M_value;14;5.4;1.3;8;2.2;0;105.7;0;0;45.5;1.6;0.4;37.9;0;286.1;;;;;;
Trade_margins;0;0;0.1;2.9;0;0;70;0;0;23.7;0;0;81.1;0;-177.8;;;;;;
Transp_margins;0;0.1;0;0.5;1.1;0;9.9;0;0;0.9;-29.7;0;8.3;0;8.9;;;;;;
SpeMarg_Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Natural_gas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Coal;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_AllFuels;0;0;0;0;-0.3;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Electricity;0;-0.1;-0.3;-0.4;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_HeatGeoSol_Th;0;-0.1;0;-0.1;-0.3;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Heavy_Industry;0;-0.2;0.2;-0.1;-1.9;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Work_constr;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Automobile;0;0;0;0;-0.1;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Load_PipeTransp;0;0;0;1.8;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_PassTransp;0;0;0;0.1;-0.2;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Agri_Food_industry;0;0;0;-0.2;-0.4;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_Comp;0;-0.1;0;0.2;1.1;0;0;0;0;0;0;0;0;0;0;;;;;;
