Socio demograhic variables;value;units
Population;66890.699;Thousands of people
Retired;16956.45796;Thousands of people
Unemployed;2788.745;Thousands of people
Labour_force;29667.5;Thousands of people
Consumption_Units;0;0
Nb_Households;29111.0908;Thousands of people
