Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0;-14.2
GOS_byAgent; 12.4; 38.5; 16.5;0
NetCompWages_byAgent;0;0; 14.6;0
InsuranceContrib_byAgent;0; 17.6;0;0
Production_Tax_byAgent;0;-0.2;0;0
Energ_Tax_byAgent;0;-9.3;0;0
Carbon_Tax_byAgent;0;0;0;0
OtherIndirTax_byAgent;0; 9.1;0;0
VA_Tax_byAgent;0; 13.9;0;0
Property_income;-60.1;-16.3;-37.9;-0.5
Unemployment_transfers;0; 4.6; 4.6;0
Pensions;0; 16.8; 16.8;0
Other_social_transfers;0; 23.6; 23.6;0
ClimPolicyCompens;0;0;0;0
Other_Transfers; 14.6; 14.6; 14.6; 14.6
Income_Tax;0; 40.7; 40.7;0
Corporate_Tax; 40.7; 40.7;0;0
Other_Direct_Tax;0; 5.2; 5.2;0
Disposable_Income; 30.2; 25.9; 7.9;-16.7
FC_byAgent;0; 10.5; 10.1;0
GFCF_byAgent; 43; 24.1; 8.7;0
Tot_FC_byAgent; 43; 12; 9.9;0
NetLending;-213;-33.5;-19.4;-16.7
NetFinancialDebt; 11.6; 60; 36.6;-27.6
;;;;
Units;0.01 k€;;;
