Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0;-1.6
GOS_byAgent;-1.7;-1.7;-1.7;0
NetCompWages_byAgent;0;0; 0.3;0
InsuranceContrib_byAgent;0; 0.3;0;0
Production_Tax_byAgent;0; 0.3;0;0
Energ_Tax_byAgent;0;-5;0;0
Carbon_Tax_byAgent;0; 1.351e+25;0;0
OtherIndirTax_byAgent;0; 0.1;0;0
VA_Tax_byAgent;0; 1.1;0;0
Property_income;0;0;0;0
Unemployment_transfers;0;-7.7;-7.7;0
Pensions;0;0;0;0
Other_social_transfers;0;0;0;0
ClimPolicyCompens;0;-1.351e+25; 1.351e+25;0
Other_Transfers; 0.9; 0.9; 0.9; 0.9
Income_Tax;0; 0.1; 0.1;0
Corporate_Tax;-1.7;-1.7;0;0
Other_Direct_Tax;0;-0.9;-0.9;0
Disposable_Income;-2.8; 0.9; 1.7;-1.9
FC_byAgent;0;0; 1.7;0
GFCF_byAgent;-0.7;0; 1.7;0
Tot_FC_byAgent;-0.7;0; 1.7;0
NetLending; 49.1;-5.2; 1.7;-1.9
NetFinancialDebt;0;0;0;0
;;;;
Units;0.01 k€;;;
