CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;239.60192;865.39297;347.10648;41151.803;0;0;0;28;18.468654;68.937695;0.9863832
Natural_gas;228016.2;33.400264;252.31424;36509.606;11524.391;0;0;3336.2683;0.0299796;1.3069431;0.5726592
Coal;332.16201;3053.4315;164.55276;7372.3629;27.941969;0;0;103.5648;197.14478;1.2268976;0.5523931
AllFuels;726.24492;38396.45;454.05869;34369.732;29613.347;0;0;16932;60.755328;0.9166175;0.4653346
Electricity;1067.1284;43088.316;1008.5722;1610.2466;13540.753;0;0;5279.7936;10.046426;0.1204447;0.0371715
HeatGeoSol_Th;777.87765;3300.353;1027.4916;0;1171.9762;0;0;0;80.406386;0;0
Heavy_Industry;1039.1068;180114.38;1000;126675.71;34717.007;20442.982;133.02773;95226.837;6.9993988;1.3469557;0.6723198
Buildings_constr;1069.5141;51565.22;1000;3.162e-16;0;0;49683.948;0;0.2553231;0;0
Work_constr;1070.0669;222048.9;1000;3.079e-16;12612.561;0;145462.96;0;0.6356785;0;0
Automobile;22231.888;3064.7379;21043.918;2540.8268;2567.9843;0;582.02386;1746.5156;0.5601167;1.46885;0.7129873
Load_PipeTransp;222.19646;369964.9;176.45045;11037.145;4655.8022;20044.318;0;8041.4979;23.265372;0.0365183;0.0234363
PassTransp;98.130645;190478.91;87.518192;5609.5069;196088.41;0;0;0;10.374118;0.0262646;0.0255925
Agri_Food_industry;1075.882;207986.4;1000;44111.376;116393.43;158.22752;1185.098;31857.621;3.6429056;0.4050512;0.1992800
Property_business;84.079871;4053450.7;78.108601;2.730e-16;2785656.7;197300.03;109157.88;0;0.1672991;0;0
OthSectors;1073.2821;2705687.3;1000;338762.69;575602.23;510319.36;223126.36;318911.75;0.9200630;0.2267177;0.1158912
