CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;0;-8.6677131;0;-8.6677131;Nan;Nan;Nan;0;-0.9118770;0.0061617;0.0060818
Natural_gas;0;-4.9365661;0;-4.9365661;-4.995991;Nan;Nan;0;-0.0015731;0.3691294;0.2275612
Coal;0;-8.5719417;0;-8.5719417;-4.995991;Nan;Nan;0;120.34627;0.2155161;0.1218505
AllFuels;0;-3.8809896;0;-3.8809896;-4.995991;Nan;Nan;0;1.7933776;1.5346211;1.1519311
Electricity;0;-4.5075222;0;-4.5075222;-4.995991;Nan;Nan;0;5.0207628;3.2905255;0.4038122
HeatGeoSol_Th;0;-4.8185627;0;-51.974723;-4.995991;Nan;Nan;Nan;14.36827;-99.961219;-99.961219
Heavy_Industry;0;0.1598347;0;0.1598347;1.0205084;-0.0014005;-0.0013673;-1.110e-14;1.6259153;-0.0794554;-0.1063930
Buildings_constr;0;-0.0013189;0;-41.25503;Nan;Nan;-0.0013673;Nan;0.0424436;-99.997418;-99.997418
Work_constr;0;0.0584874;0;-41.879014;1.0205084;Nan;-0.0013673;Nan;0.0798400;-99.999416;-99.999416
Automobile;0;0.5166966;0;0.5166966;1.0205084;Nan;-0.0013673;0;0.0570415;-0.2400674;-0.3211473
Load_PipeTransp;0;0.2964464;0;0.2964464;0.7896888;-0.2298852;Nan;0;4.1804393;-0.0318129;-0.0011496
PassTransp;0;1.0205084;0;1.0205084;1.0205084;Nan;Nan;Nan;1.0724099;-8.105e-13;-8.216e-13
Agri_Food_industry;0;0.6895311;0;0.6895311;1.0205084;-0.0014005;-0.0013673;-2.220e-14;0.684754;-0.3527035;-0.1449329
Property_business;0;0.7781964;0;-44.620071;1.0205084;-0.0014005;-0.0013673;Nan;0.0111380;-99.999972;-99.999972
OthSectors;0;0.3006195;0;0.3006195;1.0234197;0.0014813;0.0015145;0.0040004;0.0575637;-0.1452067;-0.0327529
