IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;0;0;0;8.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Natur;64.8;0;64.8;64.8;64.8;64.8;64.6;44.7;52.2;52.2;52.2;52.2;51.5;52.2;52.2;36.3;0;0;0;
Coal ;0;0;174.2;0;287.8;229.2;152.4;0;159.2;115.5;0;0;212;159.2;202.6;177.5;0;0;0;
AllFu;0;0;0;0;65.9;52.8;38.5;28.9;28.9;24.5;28.5;28.5;38;28.9;31.3;24;0;0;0;
Elect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
HeatG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Heavy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Work_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Autom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Load_;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Agri_;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Prope;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
OthSe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;;;;;;;;
w;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
pL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
pK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
pY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
pM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
p;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
