IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
SpeMarg_Property_business;0;-4.2;-4.2;-4.2;-4.2;-4.2;0;0;0; 0.8; 0.8;0;0;-100;0;;;;;;
SpeMarg_Comp;0;-4.7;-4.7;-4.7;-4.7;-4.7;0;0;0; 0.3; 0.3;0;0;0;0;;;;;;
SpeMarg_C;0;-5;-5;-5;-5;-5;0;0;0; 1; 0.8;0;0;-100;0;;;;;;
SpeMarg_G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
SpeMarg_X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
VA_Tax;-100; 29.5; 163.6; 17.8;-5;-5; 0.6;0; 0.1; 0.7; 0.2; 1; 1; 0.9; 0.4;;;;;;
Energy_Tax_IC;0;-5.6;0;-5;0;0;0;0;0;0;0;0;0;0;0;;;;;;
Energy_Tax_FC;-100;-100;-100;-5;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;;;;;;
ClimPolCompensbySect;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;0;;;;;;
OtherIndirTax;-8.7;-5.4;-8.7;-5;-5.1;-4.8; 0.2;0; 0.1; 0.8; 0.3; 1; 0.8; 0.8; 0.3;;;;;;
Carbon_Tax;5.690e+23;3.513e+24;2.012e+24;7.417e+24;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;;;;;;
Supply;-0.7;37.5;162.4;18.1;-4.7;-4.8;0.2;0;0.1;0.5;0.5;1;0.7;0.8;0.3;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Units;0.01k€;;;;;;;;;;;;;;;;;;;;
