2040;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;1430.533878;0;0;0;182.7918076;14017.36766;1135.574664;170.4996499;60.15320996;128.9884647;406.0702174;0;0;0;0;0;0;0;17531.97955;537.1248268;16994.85472
CrudeOil;0;0;0;91269.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170389.7;261659.1;244056.9;17602.2
NaturalGas;0;24282.35898;5946.407745;5736.657619;570.4252604;2766.500408;0;0;0;6.031803254;3340.200622;630.219988;2473.017553;1043.291199;1177.207016;4753.010313;0;1103.562991;33.22841867;637.754195;0;0;0;54499.87411;54499.87393;0
FossilFuels;0;1578.483722;374.0132526;2738.06099;0;17.19987106;183.6649559;498.5971199;2915.942909;4385.37956;1234.369332;1873.007701;3037.297028;766.3756505;739.3244143;2433.517092;23574.56943;12920.81173;178.7925222;10156.21482;0;0;22142.52673;91748.14883;87286.57084;4461.577994
BioFuels;0;0;0;282.15;2770.397968;2905.846059;259.689302;704.981184;4122.937744;649.4776596;5322.576555;14.01867754;166.8213583;2732.085506;21648.71198;4140.722757;8898.403817;5839.065019;154.5460773;21970.6411;0;0;0;82583.07277;82583.07283;0
Electricity;0;1183.645546;280.4584642;364.7009988;757.8020754;13374.61191;260.4446757;707.0318048;4134.930379;986.4503525;3339.465729;2779.314669;2121.876863;2786.28861;2723.496094;7214.066448;179.4170697;3167.982671;13907.17812;22152.97307;0;0;0;82422.13555;82279.66757;142.4496099
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;376634.06;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11032.8;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;619760.03;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109970.94;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82599.234;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21722.91;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;391526.79;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1032328.3;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63066.569;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2814812.2;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;413437.21;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;251214.77;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9071697.5;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
