2040;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;0.119999968;0;0;0;0;1435.741548;0;0;0;169.5913863;13670.74807;1224.08945;186.7043071;58.57862499;113.4082782;401.1639626;0;0;0;0;0;0;0;17260.14563;527.1214604;16733.02417
CrudeOil;0;0.5;0;98380.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163278.4;261659.3;244057.1;17602.2
NaturalGas;0;24168.25016;6210.510353;5673.713273;614.8503546;2397.401405;0;0;0;5.59620315;3145.533894;679.3414057;2635.475659;1015.960943;1034.482395;4281.090927;0;1021.817708;160.1957773;582.8422816;0;0;0;53627.06274;53627.06195;0
FossilFuels;0;1582.689618;369.7099949;2951.393177;0;17.90015518;415.8352423;1128.872153;6601.977065;3805.698914;1195.339172;2019.024182;3595.488414;746.3020564;649.6944943;2278.895147;22741.96866;11894.50439;666.9992754;14155.53716;0;0;23524.26295;100342.0922;93922.77711;6419.315102
BioFuels;0;0;0;255.8;5177.383864;3030.597676;308.3651109;837.1218964;4895.735576;863.7067146;5169.700161;15.1114523;186.4420657;2660.521115;19849.20153;3614.22164;8466.310751;5129.883603;227.6389316;23575.61236;0;0;0;84263.35444;84263.35444;0
Electricity;44.80012857;1187.020855;277.283347;393.2011284;851.6024439;13075.34779;244.5826483;663.9709977;3883.098088;896.2435363;3002.451561;2995.943624;2451.525645;2713.298491;2393.299357;6663.956106;181.1351848;1514.914046;16921.56686;20943.54458;0;0;0;81298.78641;81161.31685;137.3996057
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75508.64771;0;0;0;367418.681;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11723.82126;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543949.2684;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104466.0054;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76942.85173;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23600.60748;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;353020.6301;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1123624.57;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57002.32625;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2575402.2;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;405592.6405;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;235703.968;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9174288.6;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
