2035;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;0.130000028;0;0;0;0;3061.400989;0;0;0;163.7938859;13072.52326;1164.628825;173.2543099;55.70448477;106.0399818;382.0218847;0;0;0;0;0;0;0;18179.49762;2287.599261;15891.89836
CrudeOil;0;0;0;101097.6655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192182.6345;293280.3;275678.094;17602.206
NaturalGas;0;26243.55025;6415.012709;5977.390825;631.8011442;5101.808818;0;0;0;5.40479622;2994.724842;646.323293;2445.521215;966.0459496;966.9483642;4080.65268;0;1124.000866;153.3838095;597.4141038;0;0;0;58349.98367;58349.98393;0
FossilFuels;0;1806.940884;398.5561162;3033.309753;0;0;373.7601941;1014.650593;5933.975715;3734.027669;1148.04716;1920.883235;3336.373549;709.6344606;607.275348;2171.919946;24066.06588;12838.43313;654.5188377;17389.99184;0;0;20165.45209;101303.8164;96398.54001;4905.276372
BioFuels;0;0;0;274.8;5116.209788;2695.649989;288.3848128;782.8811785;4578.519871;770.7515677;4507.130494;14.37696435;173.0040304;2529.812442;17157.31961;3432.247139;6973.512446;4638.31272;216.8904263;23272.55865;0;0;0;77422.36214;77422.36213;0
Electricity;43.20013598;1355.10936;298.8958458;404.0012717;806.4025383;12326.172;219.4488395;595.7399919;3484.063056;815.9149155;2775.65909;2850.328687;2274.8274;2579.989445;2237.055648;6374.003728;77.23704539;922.568703;15487.37988;19268.3392;0;0;0;75196.33679;74511.76059;684.4978454
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31311.97707;0;0;0;338591.8899;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10633.08729;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;482928.4819;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95102.88761;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69811.74119;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21233.91368;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324587.0833;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1022145.864;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51467.59498;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2368953.1;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;369675.1478;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216755.3358;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8133548.7;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
