2045;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;28.9991571;0;0;0;179.3769312;14135.81438;1144.987825;170.4562273;60.09644091;136.8699991;414.078248;0;0;0;0;0;0;0;16270.67921;548.7159492;15721.72349
CrudeOil;0;0.4;0;84331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192617.8;276949.2;259347;17602.2
NaturalGas;0;24579.51992;5660.709596;5587.734962;527.0494722;902.6003273;0;0;0;5.918907486;3412.721325;635.408407;2472.197992;1042.226016;1249.307944;4939.815366;0;1042.252417;23.70400485;595.5300548;0;0;0;52676.69671;52676.75089;0
FossilFuels;0;1699.612699;375.0918075;2530.218119;0;0;165.8183019;450.1486273;2632.601845;4309.928526;1249.783815;1888.458378;3036.35746;765.5980749;784.6127768;2510.321272;21835.52571;12040.35569;106.0098513;7016.532621;0;0;22976.38156;86373.35714;80865.41481;5507.720902
BioFuels;0;0;0;287.5;3140.15294;3271.89929;259.9800074;705.7703648;4127.553106;637.7924375;5933.46805;14.13419657;166.7667818;2729.317264;26443.26001;4311.341703;9982.993541;5729.5926;138.5702739;20765.71589;0;0;0;88645.80846;88645.68072;0
Electricity;0;1274.84946;281.3497385;336.9998265;730.199624;14353.03668;281.5676775;764.374632;4470.288133;1038.009948;3565.530883;2802.190932;2121.169862;2783.438859;2890.298096;7491.011443;289.0152067;4792.171967;14191.39661;23788.85308;0;0;0;88245.75265;88103.35012;142.4499267
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;407.52609;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.496359;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;696.97807;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120.69442;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88.376629;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.07102;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;415.73886;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1055.4059;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68.680195;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3065.3943;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;453.55082;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;282.79128;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10122.322;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
