2050;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;0.090000014;0;0;0;0;28.99974387;0;0;0;177.1194947;14106.05393;1247.084843;210.5645496;62.79126557;123.4253841;434.5152185;0;0;0;0;0;0;0;16390.64443;574.9050776;15815.73935
CrudeOil;0;0.5;0;91264.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201226;292491.3;274889.1;17602.2
NaturalGas;0;25806.61134;6332.20774;5792.533845;570.375871;79.10002541;0;0;0;5.844532408;3143.517152;692.0876239;2972.189503;1089.031487;1126.20652;4628.225009;0;735.7094485;182.3103559;549.046104;0;0;0;53704.99656;53704.99493;0
FossilFuels;0;1806.203886;392.8002588;2738.877901;0;0;517.4524712;1404.733476;8215.295385;3850.251926;1243.597915;2056.893714;4054.864084;799.9770554;707.2966884;2464.250801;20129.40277;10210.58905;726.4097781;12560.98893;0;0;23286.6893;97166.57541;87386.96706;9779.608347
BioFuels;0;0;0;286.2;5418.746519;3236.349924;350.0050046;950.1621385;5556.828229;1039.326516;6554.885189;15.39496223;210.2622975;2851.878944;29306.25818;3936.378267;11520.68502;5056.639036;244.9665377;20045.91744;0;0;0;96580.8842;96580.8842;0
Electricity;45.49997148;1354.690581;294.6083855;364.6997714;767.499519;15410.44982;290.0918078;787.515175;4605.620849;1065.781093;3454.861344;3052.141775;2764.725359;2908.433016;2605.493692;7154.058995;568.1242779;4408.170648;20225.24815;22999.82737;0;0;0;95127.5416;94985.11044;142.4500893
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214786.6944;0;0;0;426048.0732;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13949.70133;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;658330.0217;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124227.7106;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88886.75168;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27163.78184;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;405488.5942;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1324344.183;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66506.45436;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2989342.4;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;487416.7766;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279204.1332;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11543339;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
