2030;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;0.199999697;0;0;0;0;3088.097779;0;0;0;173.8813011;13101.631;1075.83003;165.7144344;57.91773461;105.9740239;375.0917701;0;0;0;0;0;0;0;18144.33808;2280.40164;15863.90356
CrudeOil;0;0.1;0;96959.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200151;297110.3;279508.1;17602.2
NaturalGas;0;26091.02861;5745.588496;5832.472117;605.9497488;5800.593132;0;0;0;5.737638212;3049.381354;597.0417295;2403.495328;1004.449517;966.3416628;4120.223702;0;1226.180033;69.93784158;658.0164277;0;0;0;58176.43734;58176.40986;0
FossilFuels;0;1842.12606;393.9733775;2909.331864;0;0;211.6318753;574.5191998;3359.95761;4161.235136;1147.032013;1774.429898;2951.98774;737.8476062;606.8975501;2164.218478;25086.46157;13458.19638;392.9089149;18956.63034;0;0;14891.99202;95621.37763;92357.20041;3263.937658
BioFuels;0;0;0;274.9;2225.015776;2527.950068;236.4855851;641.9898182;3754.545671;617.0585454;4114.448023;13.28072862;162.1321394;2630.386579;14451.85696;3544.782653;5504.655199;3819.784762;174.7474395;20671.37138;0;0;0;65365.39133;65365.33891;0
Electricity;0;1381.611588;295.4836781;387.598906;654.5981524;11795.23746;204.8302217;556.0546817;3251.971666;826.7871081;2812.681903;2632.983857;2062.216341;2682.542635;2235.64366;6309.72216;18.50534186;702.0917931;13020.19204;17803.86156;0;0;0;69634.61475;68326.97223;1307.946308
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;309.41151;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.006573;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;473.91818;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87.642153;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.696084;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.732187;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;322.29642;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;976.9261;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50.363631;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2273.0495;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;330.00715;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197.86913;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7028.0823;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
