2045;Coal;CrudeOil;NaturalGas;FossilFuels;BioFuels;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;FoodBeve;PaperPulp;RestIndus;FreightTransp;PassTransp;Comp;C;G;I;X;Tot_uses;Y;M
Coal;0.129999989;0;0;0;0;28.99950709;0;0;0;173.5926194;13861.38762;1232.982038;198.4947189;60.46601061;117.5942615;417.5350105;0;0;0;0;0;0;0;16091.18179;549.1093334;15542.07245
CrudeOil;0;0.3;0;93857.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183091.6;276949.2;259347;17602.2
NaturalGas;0;24581.46149;5892.252971;5573.345229;586.5750241;614.4000165;0;0;0;5.728168187;3202.669357;684.2642179;2801.838494;1048.688329;1072.800889;4452.195064;0;919.6354441;169.3079648;570.0348145;0;0;0;52175.19748;52175.19748;0
FossilFuels;0;1702.140978;372.6566745;2815.515404;0;0;462.3917069;1255.25946;7341.127286;3834.122379;1224.923625;2033.645776;3822.445128;770.3417049;673.7575614;2370.101191;21437.60789;10793.17465;689.3167135;12954.22266;0;0;23517.97913;98070.72991;89676.49623;8394.233685
BioFuels;0;0;0;258.3;6610.354522;3149.800091;328.0753984;890.6296141;5208.66448;951.3273;5822.455337;15.22096398;198.2114289;2746.235696;24334.86838;3772.742164;9977.079566;5218.873723;236.3729625;22972.01734;0;0;0;92691.22896;92691.22896;0
Electricity;45.10011936;1276.528517;279.4756006;375.1009927;857.1022683;14168.36441;267.5637564;726.3580453;4247.95593;976.8497179;3215.781089;3017.654517;2606.277558;2800.703479;2481.950869;6906.089399;341.6625446;2729.973802;18455.73404;22178.75944;0;0;0;87954.9861;87812.92327;141.9996242
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128380.633;0;0;0;395128.9164;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12736.87545;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;593733.9555;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113861.4747;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82413.75904;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25220.20238;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;378760.9072;0
FoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1214815.776;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61196.58395;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2775365.5;0
FreightTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;443678.9433;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;256264.5505;0
Comp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10271213;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
