Kappas;2030;2040;2050
Crude_oil;0.0704442;0.0704442;0.0704442
Liquid_fuels;0.0108238;0.0108238;0.0108238
Gas_fuels;0.006198288;0.006198288;0.006198288
Solid_fuels;0.0045661;0.0045661;0.0045661
Elec_heating;0.141137694749435;0.144933527491463;0.128339909170917
Steel_Iron;0.050035397374794136;0.06100101096209044;0.06595872956289377
NonFerrousMetals;0.043485458867907986;0.0449703787277736;0.042960014116052714
Cement;0.0698661734925499;0.11674963816052922;0.15898877609894238
OthMin;0.04150942790697828;0.04225008730662722;0.043989358657112246
ChemicalPharma;0.05259075405696524;0.05608627247053076;0.05805968216616678
Paper;0.07110260189687033;0.08291675049230186;0.08354729646876732
Auto_indus;0.06193535296552793;0.06172312742322179;0.06156596057969536
OthEquip;0.02689762022745494;0.027146103386910543;0.028447680804192577
Electronics;0.16588774433045456;0.1650245647457589;0.16546922811206535
Food_industry;0.041041871152757856;0.041356449648757954;0.04162844011210072
OthManuf;0.03906910979336873;0.0389339031391403;0.03894976221183878
LandTransp;0.109460372303616;0.109460372303616;0.109460372303616
NavalTransp;0.094580155906126;0.100672805060641;0.114146298898356
AirTransp;0.114397380490049;0.117308572457;0.11902504550307
AgriForest_Fish;0.178178299395715;0.180468619317881;0.182192968739489
Construction;0.0340782474085165;0.0325075469499593;0.0309027657412652
Property_business;0.244166684964576;0.250733434541621;0.22202665437146
Compo;0.108842171884169;0.111779020163905;0.114318388469736
