CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;0.9011556;-9.26415;0;-9.26415;Nan;Nan;Nan;0;0.2380298;-0.8865284;-0.0063503
Natural_gas;0.7849132;-6.1503662;0;-6.1503662;-4.995991;Nan;Nan;0;0.0003459;-0.2898932;-0.0676403
Coal;181.0801;-11.148714;0;-11.148714;-4.995991;Nan;Nan;0;14.196434;-63.561408;-45.102448
AllFuels;2.4261854;-4.5091044;0;-4.5091044;-4.995991;Nan;Nan;0;0.6205638;-0.0120144;-0.2026441
Electricity;7.694155;-5.5791433;0;-5.5791433;-4.995991;Nan;Nan;0;5.0598411;1.7750565;-6.446577
HeatGeoSol_Th;19.693534;-6.2764821;0;-52.710339;-4.995991;Nan;Nan;Nan;4.308724;-99.9676;-99.9676
Heavy_Industry;3.4018705;-4.3944205;0;1.33592;-1.1877964;-1.214993;-1.29685;-2.8136746;2.0739256;1.3591424;0.9398209
Buildings_constr;0.6561734;-0.0559698;0;-41.287135;Nan;Nan;-0.0559698;Nan;0.0452441;-99.997435;-99.997435
Work_constr;0.6491869;-0.1784042;0;-42.016617;0.0615683;Nan;-0.0488642;Nan;0.0961930;-99.99942;-99.99942
Automobile;0.7063488;-0.8591733;0;0.3083758;0.3245307;Nan;0.2156190;-1.2797133;0.0756446;-0.1003917;-0.3335595
Load_PipeTransp;5.9084471;-1.3600712;0;-1.3600712;-8.2371506;-8.262407;Nan;0;3.1082638;-2.1759457;-5.4058471
PassTransp;3.0133805;-2.3621554;0;-2.3621554;-2.3621554;Nan;Nan;Nan;1.0799649;-2.9252321;-2.8525037
Agri_Food_industry;1.7491362;-1.7115146;0;1.7394869;-0.7027638;-0.7300940;-0.8123528;-1.7117005;0.7540490;0.6711734;1.3112505
Property_business;0.5816695;-0.0553115;0;-45.078103;0.1259963;0.0984381;0.0154927;Nan;0.0191834;-99.999972;-99.999972
OthSectors;0.6433547;-0.5342765;0;0.5531438;0.1422073;0.1146446;0.0316858;-0.7792527;0.1000300;0.0768323;0.3604078
