IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;0;0;0;8.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Natur;65.2;0.3;65.2;65.2;65.2;65.2;64.9;45.1;52.6;52.6;52.6;52.6;51.9;52.6;52.6;36.6;0.4;0.4;0.4;
Coal ;82.1;82.1;256.3;82.1;369.6;311.1;234.6;82.1;241.3;197.7;82.1;82.1;293.9;241.3;284.6;259.5;82.1;82.1;82.5;
AllFu;1.2;1.2;1.2;1.2;66.8;53.8;39.7;30.2;30.2;25.8;29.7;29.7;39.2;30.2;32.5;24.9;0.9;0.9;1.6;
Elect;7.2;7.2;7.2;7.2;7.3;7.2;7.2;7.3;7.3;7.2;7.2;7.2;7.3;7.3;7.3;7.3;7.3;7.3;7.4;
HeatG;19.5;19.5;19.5;19.5;19.5;19.5;19.5;19.5;19.5;19.5;19.5;19.5;19.5;19.5;19.5;19.5;19.5;19.5;19.7;
Heavy;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;1.9;
Build;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;
Work_;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;
Autom;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;
Load_;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;9.7;8.8;
PassT;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;2.9;
Agri_;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;
Prope;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;
OthSe;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;
;;;;;;;;;;;;;;;;;;;;
w;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;;;;;
pL;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;;;;;
pK;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;;;;;
pY;0.9;0.8;181.1;2.4;7.7;19.7;3.4;0.7;0.6;0.7;5.9;3;1.7;0.6;0.6;;;;;
pM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
p;0;0.4;82.5;1.6;7.4;19.7;1.9;0.7;0.6;0.4;5.8;2.9;1.4;0.6;0.6;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
