CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;247.21852;859.93166;347.10648;40892.103;0;0;0;28;19.463173;66.814106;0.9859391
Natural_gas;234902.39;32.946024;252.31424;36013.08;11524.391;0;0;3336.2683;0.0316601;1.2712426;0.5652970
Coal;934.87878;2961.1002;164.55276;7149.4334;27.941969;3.634e-14;0;103.5648;90.926708;0.4455749;0.3026093
AllFuels;746.71864;38153.977;454.05869;34152.687;29613.347;0;0;16932;59.429743;0.9000072;0.4579366
Electricity;1166.921;42582.196;1008.5722;1591.3325;13540.753;0;0;5279.7936;9.9555683;0.1181847;0.0341285
HeatGeoSol_Th;941.66912;3247.3984;1027.4916;0;1171.9762;0;0;0;70.182248;0;0
Heavy_Industry;1079.4292;171449.49;1000;128840.13;33468.339;20254.688;139.09736;92190.919;7.4650344;1.3666209;0.6787111
Buildings_constr;1082.9619;54412.255;1000;3.336e-16;0;0;52427.569;0;0.2577551;0;0
Work_constr;1074.5076;232228.41;1000;3.220e-16;12373.012;0;154778.06;0;0.6577019;0;0
Automobile;22384.687;3027.6094;21043.918;2538.8062;2520.2383;0;619.55876;1724.76;0.5844335;1.470016;0.7123629
Load_PipeTransp;234.52465;364428.98;176.45045;10871.992;4213.6241;18644.124;0;8041.4979;22.306275;0.0357633;0.0222425
PassTransp;100.70981;182624.11;87.518192;5378.1873;188002.3;0;0;0;10.484866;0.0255920;0.0249534
Agri_Food_industry;1097.0726;201183.63;1000;44357.382;112850.26;157.66873;1246.2731;31245.266;3.727506;0.4110162;0.2028126
Property_business;93.929652;3683063.4;78.108601;2.480e-16;2456379.4;178806.97;104401.75;0;0.1595966;0;0
OthSectors;1083.0985;2688224.8;1000;341812.38;562258.18;512324.09;236400.85;315213.84;0.9703720;0.2268278;0.1164686
