IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;345.8;345.8;345.8;375.9;345.8;345.8;345.8;345.8;345.8;345.8;345.8;345.8;345.8;345.8;345.8;345.8;345.8;345.8;363.1;
Natur;602.1;490.4;602.1;602.1;602.1;602.1;603.3;767;690.7;690.7;690.7;690.7;696.9;690.7;690.7;1100.4;592.1;592.1;225.3;
Coal ;415;415;881.6;415;700.8;710.9;978.5;415;939.2;1155.7;415;415;743.7;939.2;773.6;959.3;493.5;493.5;550.5;
AllFu;872;872;872;872;780;861.8;1106.5;1353.7;1345;1513.4;1373.4;1373.4;1090.5;1345;1263.3;1752.4;1405;1405;598.5;
Elect;892.6;892.6;892.6;892.6;1217.4;892.6;777.1;1337.1;1283.7;892.6;892.6;892.6;967.8;1283.7;1332.3;2233.9;1851.6;1851.6;808.3;
HeatG;960.4;960.4;960.4;960.4;960.4;960.4;960.4;960.4;963.2;960.4;960.4;960.4;963.2;963.2;963.2;1079.9;1162.6;1162.6;953.2;
Heavy;1350.5;1350.5;1350.5;1350.5;1350.5;1350.5;1350.5;1350.5;1350.5;1350.5;1350.5;1350.5;1350.5;1350.5;1350.5;1498.2;1498.2;1498.2;1345.9;
Build;1087.5;1087.5;1087.5;1087.5;1087.5;1087.5;1087.5;1087.5;1087.5;1087.5;1087.5;1087.5;1087.5;1087.5;1087.5;1224.4;1224.4;1224.4;1083;
Work_;1079.4;1079.4;1079.4;1079.4;1079.4;1079.4;1079.4;1079.4;1079.4;1079.4;1079.4;1079.4;1079.4;1079.4;1079.4;1179;1179;1179;1074.5;
Autom;26492.7;26492.7;26492.7;26492.7;26492.7;26492.7;26492.7;26492.7;26492.7;26492.7;26492.7;26492.7;26492.7;26492.7;26492.7;27517.4;30486;45105.8;26786.1;
Load_;128.2;128.2;128.2;128.2;128.2;128.2;128.2;128.2;128.2;128.2;128.2;128.2;128.2;128.2;128.2;178.1;178.1;178.1;141.5;
PassT;93.9;93.9;93.9;93.9;93.9;93.9;93.9;93.9;93.9;93.9;93.9;93.9;93.9;93.9;93.9;95.4;95.4;95.4;100.3;
Agri_;1478.9;1478.9;1478.9;1478.9;1478.9;1478.9;1478.9;1478.9;1478.9;1478.9;1478.9;1478.9;1478.9;1478.9;1478.9;1562.4;1562.4;1562.4;1483.7;
Prope;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;95.1;95.1;95.1;93.9;
OthSe;1027.6;1027.6;1027.6;1027.6;1027.6;1027.6;1027.6;1027.6;1027.6;1027.6;1027.6;1027.6;1027.6;1027.6;1027.6;1095;1095;1095;1010.8;
;;;;;;;;;;;;;;;;;;;;
w;91902.8;63856.8;45611.3;79435.1;63856.8;63856.8;53040;39265.4;21703.9;71721.5;219623.6;49765.6;35550.1;24208.1;34459;;;;;
pL;130289.8;90529.3;64662.8;112614.4;90529.3;90529.3;75194.4;55666.2;30769.5;101679;311358.7;70552.2;50399.1;34319.6;48852.3;;;;;
pK;991.9;991.9;991.9;991.9;991.9;991.9;991.9;991.9;991.9;991.9;991.9;991.9;991.9;991.9;991.9;;;;;
pY;247.2;234902.4;934.9;746.7;1166.9;941.7;1079.4;1083;1074.5;22384.7;234.5;100.7;1097.1;93.9;1083.1;;;;;
pM;347.1;252.3;164.6;454.1;1008.6;1027.5;1000;1000;1000;21043.9;176.5;87.5;1000;78.1;1000;;;;;
p;345;466.8;390.2;608.5;1161.2;941.7;1045.3;1083;1074.5;21773.2;232.8;100.3;1079.5;93.9;1073.7;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
