Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0; 11.8
GOS_byAgent; 5.2; 5.2; 5.2;0
NetCompWages_byAgent;0;0;-0.1;0
InsuranceContrib_byAgent;0;-7.5;0;0
Production_Tax_byAgent;0; 1.6;0;0
Energ_Tax_byAgent;0;-5.4;0;0
Carbon_Tax_byAgent;0; 1.333e+25;0;0
OtherIndirTax_byAgent;0; 0.1;0;0
VA_Tax_byAgent;0; 3;0;0
Property_income;0;0;0;0
Unemployment_transfers;0; 21.7; 21.7;0
Pensions;0;0;0;0
Other_social_transfers;0;0;0;0
ClimPolicyCompens;0;0;0;0
Other_Transfers; 1.8; 1.8; 1.8; 1.8
Income_Tax;0;0;0;0
Corporate_Tax; 4.9; 4.9;0;0
Other_Direct_Tax;0; 3.6; 3.6;0
Disposable_Income; 7; 2.5; 0.5; 16.6
FC_byAgent;0; 1.2; 0.5;0
GFCF_byAgent; 11.2; 0.9; 0.5;0
Tot_FC_byAgent; 11.2; 1.2; 0.5;0
NetLending; 112;-6.3; 0.5; 16.6
NetFinancialDebt;0;0;0;0
;;;;
Units;0.01 k€;;;
