2016;Coal;CrudeOil;NaturalGas;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite;C;G;I;X;Tot_uses;Y;M
Coal;10.818;0;0;0;0;0;0;0;0;4397.199301;0;0;0;0;0;0;132.3908653;10186.10579;474.9701856;957.6794484;172.0899046;11.27864874;52.29787848;0;89.37368395;59.90258719;42.62707376;109.9883531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16696.72172;2627.785072;14068.93665
CrudeOil;0;0;0;34730.48845;0;46442.59599;0;22699.62825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49443.37335;153316.086;137856.6526;15459.43339
NaturalGas;0;13142.99254;4778.794965;1524.821417;0;2039.034526;695.76408;996.6136632;0;15932.32925;0;0;0;0;0;0;13.30874643;1221.103085;673.2432419;641.6677281;2255.601388;147.01265;681.6818114;216.0403785;828.4614878;1337.74361;580.2895185;1497.289934;0;0;0;0;1400.720973;0;0;0;3.442929781;19.72841655;19.83208461;128.4045475;509.9561497;0;0;0;51285.87912;36351.00625;14934.87287
OthFossFuel;0;92.13129415;56.61696676;1535.157566;0;1810.868674;0;838.6419496;0;5149.081919;1.990910462;3.42807187;8.039919044;17.55909295;5.404744839;2.581456901;3609.562416;236.3592687;729.3951535;1797.655452;2331.927542;75.32413454;349.2698925;53.6936755;394.2149326;469.3400295;189.5220155;489.0134957;0;0;480.3760612;778.977813;0;0;3093.187747;0;21.08960237;120.8460488;121.4810656;428.9670616;6664.386145;0;0;10996.30113;42952.39325;37381.1104;5571.282842
OthBiofuel;0;0;0;0;3508.549887;0;0;0;0;2895.835154;139.7697085;240.6640655;564.4337917;1232.717066;379.4342463;181.2283804;308.3469579;3482.393572;0;10.8501719;65.31948081;384.5292379;1783.020627;61.9913345;8625.440919;2375.750844;246.1352555;635.0896039;0;0;0;0;0;0;0;0;0;0;0;181.7852948;6656.134059;0;0;0;33959.41966;33959.41966;0
Diesel;0;1338.4856;0.002022847;738.0437233;0;3.900422967;0.247863391;1.921137081;0;2203.066848;304.7164177;524.6794366;1230.540185;2687.485954;827.2167519;395.101796;56.31054447;32.51514403;392.8846019;9.865142443;16.77913787;39.63760264;183.7952908;2.154993212;166.0381825;22.14286301;41.24588347;106.4245418;28007.11635;938.2732261;0;195.2178334;8105.664828;0;0;65.82014494;0.196194041;1.124216296;1.130123781;4.161519597;0;0;0;1282.995775;49926.9023;44256.39401;5670.508292
Biodiesel;0;0;0;0;0;0;0;0;0;0;19.83897265;34.15996116;80.1159756;174.9723915;53.85706041;25.7236344;3.666419388;1.777589787;24.24296713;0;1.183444249;2.603216376;12.07083373;0.141370869;10.64605808;1.469316614;3.048119013;7.864898072;1812.013609;59.64142886;0;0;524.4229642;0;0;0;0.012912923;0.07399266;0.074381473;0.256091748;0;0;0;0;2853.87761;2853.87761;0
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2743.96819;0;0;0;0;0;0;0;20122.4334;0;0;727.0469083;23593.44849;21559.26356;2034.184936
Ethanol;0;0;0;0;0;0;0;0;0;0;0.648517237;1.116656795;2.618915406;5.719681851;1.760536324;0.840881259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1737.6509;0;0;0;0;0;0;0;14059.17547;0;0;1125.556384;16935.08794;15773.26512;1161.822822
Electricity;0;904.969351;61.48408412;153.5137093;44.29642138;170.2645132;10.81993926;83.86307654;591.3128725;8569.603386;119.6808772;206.0738825;483.3088089;1055.541014;324.8988922;155.180774;613.7036503;2170.626692;1147.731687;2386.054798;1929.17181;396.5789633;1838.893905;561.7543449;1896.23244;338.9334479;1096.112144;2828.239399;0;0;0;0;0;191.8951439;0;0;296.3344663;1698.033408;1706.956163;8137.637017;11772.85829;0;0;17.00547305;53959.56485;51045.97079;2913.594056
