2027;Coal;CrudeOil;NaturalGas;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite;C;G;I;X;Tot_uses;Y;M
Coal;0.091904165;0;0;0;0;0;0;0;0;3814.299149;0;0;0;0;0;0;66.20700696;8819.115117;471.684943;1215.377771;175.5198282;8.933203212;41.42230037;0;142.2292356;38.85640963;3.027888598;7.812698615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14804.57746;2454.198246;12350.37921
CrudeOil;0;0;0;43195.15267;0;61621.24505;0;22948.16228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171640.4341;299404.9941;281802.5874;17602.40671
NaturalGas;0;25020.73058;6696.129888;1565.347265;0;2233.089628;0;831.6174578;0;12810.36906;0;0;0;0;0;0;47.446597;1161.148897;873.0394036;1223.4448;2580.763583;139.6864085;647.7108191;227.8976719;1125.994551;1494.865873;632.0934242;1630.956774;0;0;0;0;1304.324618;0;0;0;3.157009424;18.09005729;18.18511616;285.5451946;981.133605;0;0;0;63552.76828;56734.57972;6818.188562
OthFossFuel;0;683.01694;649.2176179;1352.528185;0;1866.618621;0;763.1532824;0;1546.463709;14.67471324;25.26782224;59.26108115;129.4255361;39.83759298;19.02754568;3545.323635;238.0253724;802.2871811;1904.066919;1102.519661;65.30269271;302.801547;33.28560372;201.6188903;229.2294245;163.3663282;421.5253781;0;0;542.2822009;1364.255135;0;0;3491.807345;0;17.9553702;102.8865081;103.4271518;465.6030617;7539.497712;0;0;13495.23706;43280.79682;39517.84482;3762.952003
OthBiofuel;0;0;0;0;2331.436058;0;0;0;0;2843.390875;97.02664241;167.06643;391.8239242;855.7390527;263.399211;125.8068107;321.7967097;4046.749881;0;13.94221895;57.68869438;366.2568935;1698.293736;64.35681701;11641.08096;2472.848685;242.9619272;626.9016349;0;0;0;0;0;0;0;0;0;0;0;169.8764939;5107.741199;0;0;0;33906.18485;33906.18485;0
Diesel;0;1312.16886;0.00004;1555.953434;0;4.019524881;0.255446525;1.74779059;0;97.26390066;313.4482261;539.7144006;1265.801959;2764.497271;850.921081;406.4236448;57.57009657;26.87198508;599.8463525;11.9175056;13.90968214;36.6769424;170.0670284;2.009227961;194.5000848;18.61529741;30.41212904;78.47078607;29884.53828;1201.668451;0;357.052863;8649.017907;0;0;120.3848582;0.160900113;0.921977691;0.926822461;5.874933682;0;0;0;9230.093942;59803.72364;59803.72364;0
Biodiesel;0;0;0;0;0;0;0;0;0;0;23.12576836;39.81936782;93.38908455;203.9607125;62.7797581;29.98536372;4.273848601;2.072089638;28.25938884;0;1.183444249;3.034500827;14.07065324;0.164792302;12.40982976;1.712743712;3.553112124;9.167904722;2112.216581;69.5224442;0;0;611.3060495;0;0;0;0.015052255;0.086251296;0.086704526;0.298519412;0;0;0;0;3326.493966;3326.493966;0
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1980.218709;0;0;0;0;0;0;0;14521.60386;0;0;6471.634095;22973.45667;22973.45667;0
Ethanol;0;0;0;0;0;0;0;0;0;0;0.660253425;1.136864885;2.666309806;5.82319069;1.792396675;0.856098651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2340.480336;0;0;0;0;0;0;0;18936.61363;0;0;1388.491694;22678.52078;22678.52078;0
Electricity;0;921.877247;63.48492394;145.0156087;46.85463995;188.1765608;11.95888817;81.82390506;600.1444738;8982.828476;146.2483632;251.819411;590.5966255;1289.856401;397.0219161;189.6287421;651.3046421;2614.430119;1703.023284;3206.416995;1813.676281;387.9724422;1798.986394;580.7423718;2266.190305;345.6887321;1114.891285;2876.694211;0;0;0;0;0;380.7162009;0;0;269.8232124;1546.12062;1554.24511;11318.35472;17252.95158;0;0;0;65589.56469;63437.31809;2152.246595
