2028;Coal;CrudeOil;NaturalGas;OthFossFuel;OthBiofuel;Diesel;Biodiesel;Gasoline;Ethanol;Electricity;PlantedForest;SugarCane;Soy;RestAgri;Cattle;RestLivestoock;Cement;IronSteel;MiningPellet;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;Textiles;PaperPulp;Ceramics;Construction;OthIndustry;FreightRoad;FreightRail;FreightAir;FreightWater;PassRoad;PassRail;PassAir;PassWater;WaterSewage;Education;Health;Composite;C;G;I;X;Tot_uses;Y;M
Coal;0.137856247;0;0;0;0;0;0;0;0;3784.597579;0;0;0;0;0;0;66.96344712;8838.06833;480.9805775;1247.332923;172.7606068;8.908849447;41.30937458;0;143.163734;38.98076951;3.016668301;7.783747485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14834.00446;2433.848048;12400.15641
CrudeOil;0;0;0;44240.84656;0;63135.60462;0;23190.98882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181793.0502;312360.4902;294758.0806;17602.40959
NaturalGas;0;26287.86502;6969.53316;1573.997131;0;2246.233249;0;825.0870564;0;13434.93291;0;0;0;0;0;0;56.96095076;1169.131782;900.335328;1290.641545;2592.595053;140.0292588;649.3005789;228.4500931;1167.418136;1511.53068;631.7630862;1630.104421;0;0;0;0;1242.044083;0;0;0;3.162126649;18.11937962;18.21459258;298.8134982;1019.91705;0;0;0;65906.18017;59938.97561;5967.204563
OthFossFuel;0;733.0691563;699.2785203;1350.689821;0;1874.722401;0;755.8277165;0;1530.856268;15.9629985;27.4860709;64.4635799;140.787735;43.33491405;20.69796378;3541.395602;240.444747;805.3801482;1912.455609;1078.17385;65.37437031;303.1339083;32.96579344;191.8735121;222.467529;162.1100622;418.2839023;0;0;557.8607779;1435.681047;0;0;3592.119304;0;17.82003927;102.111045;102.6476138;468.2108992;7618.860203;0;0;13800.46497;43927.01208;40453.86825;3473.14383
OthBiofuel;0;0;0;0;2374.664224;0;0;0;0;3043.694305;95.03284442;163.6333863;383.7723445;838.1544929;257.9866273;123.2216098;324.8289925;4142.815511;0;14.33762162;57.4602423;367.8900108;1705.866324;64.54889364;11848.60303;2495.173155;243.3222451;627.8313439;0;0;0;0;0;0;0;0;0;0;0;166.7111064;5017.163483;0;0;0;34356.71179;34356.71179;0
Diesel;0;1310.594925;0.00005;1605.369792;0;4.033430012;0.256331348;1.729493674;0;98.75036714;317.5033874;546.6968262;1282.177968;2800.262291;861.9296685;411.6816533;58.15966902;27.02687344;612.3327853;12.20304921;13.7871065;36.68683458;170.1128974;2.006585022;197.4386031;18.70537085;30.32176345;78.23762058;30021.05786;1234.327271;0;376.5876947;8688.528649;0;0;126.9712721;0.152543537;0.874093469;0.878686618;5.721731517;0;0;0;10437.47417;61390.57931;61390.57931;0
Biodiesel;0;0;0;0;0;0;0;0;0;0;23.47919527;40.42791997;94.81633291;207.0778069;63.73920971;30.44362457;4.33916505;2.103757007;28.69127194;0;1.183444249;3.080876551;14.28569247;0.167310793;12.59948693;1.738919263;3.60741369;9.30801614;2144.497203;70.58494304;0;0;620.6485284;0;0;0;0.015282296;0.087569459;0.088029616;0.30308163;0;0;0;0;3377.314081;3377.314081;0
Gasoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1807.97645;0;0;0;0;0;0;0;13258.49396;0;0;8185.750086;23252.2205;23252.2205;0
Ethanol;0;0;0;0;0;0;0;0;0;0;0.6724026;1.157784081;2.715371974;5.930341914;1.825378164;0.87185153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2445.607842;0;0;0;0;0;0;0;19787.19072;0;0;1430.479938;23676.45163;23676.45163;0
Electricity;0;924.757751;63.68533797;145.3102545;47.00520293;189.6352191;12.05164118;81.31364887;602.0143614;9125.168916;150.0842079;258.4242039;606.0869659;1323.687131;407.4351225;194.60238;660.3515406;2666.449685;1744.45987;3297.446097;1806.545265;389.7161538;1807.071797;582.4920883;2308.36068;348.7035039;1116.576249;2881.041832;0;0;0;0;0;406.3401691;0;0;269.1984275;1542.540525;1550.646202;11665.48985;17696.24438;0;0;0;66870.93665;64809.15993;2061.776722
