;HH1
Oil;0.3
Natural_gas;0.3
Coal_lignite;0.3
Elec_heating;0.3
Steel_Iron;1
NonFerrousMetals;1
Cement;1
OthMin;1
ChemicalPharma;1
Paper;1
Auto_transport;1
LandTransp;0.5
NavalTransp;0.5
AirTransp;0.5
AgriForest_Fish;0.6
Food_industry;0.6
Construction;1
ManufacturedGoods;1
Compo;1
