sector;2030;2040;2050
Crude;0;0;0
Liqui;27324.884;27324.884;27324.884
Gas_f;9808.8264;9808.8264;9808.8264
Solid;38.14012;38.14012;38.14012
Elec_;14910.406;14910.406;14910.406
Steel;59.711181;59.711181;59.711181
NonFe;102.33444;102.33444;102.33444
Cemen;146.44061;146.44061;146.44061
OthMi;971.04221;971.04221;971.04221
Chemi;10127.754;10127.754;10127.754
Paper;1483.0546;1483.0546;1483.0546
Auto_;21496.702;21496.702;21496.702
OthEq;3978.6381;3978.6381;3978.6381
Elect;6916.5187;6916.5187;6916.5187
Food_;86390.131;86390.131;86390.131
OthMa;57955.155;57955.155;57955.155
LandT;28073.374;28073.374;28073.374
Naval;260.71541;260.71541;260.71541
AirTr;9050.1701;9050.1701;9050.1701
AgriF;17446.407;17446.407;17446.407
Const;7420.7536;7420.7536;7420.7536
Prope;214963.08;214963.08;214963.08
Compo;-15769.294;-15769.294;-15769.294
