;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;53642.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38.8;53681.6;990;52691.6
Natural_gas;0.5500899199;0;0.242170537;529.3661541328;4203.002572368;1626.2850086566;6582.661677837;41.4031730593;323.9750217716;180.0096763924;46.0907395813;26.2426297833;2836.7574691996;210.4300100351;7698.4356758065;10389.7379538805;0;0;1945.981083405;36641.1711063658;20.7651837228;36620.405922643
Coal;0;0;3276.403975825;0;2788.6761335953;205.0330393069;3381.3675562144;0;3.5858899308;2.3563854991;0;0;461.3872974112;0.2576022417;92.1083448917;14.7056786434;0;0;51.7824006015;10277.6643041609;3195.207353354;7082.456950807
AllFuels;0;0;0;0;1678.788517597;363.942293366;1669.7611679181;88.9479026476;807.4975206675;51.5389140481;15344.98624569;1063.6603792548;3524.7893200494;58.0088589765;3389.1446637461;30247.3804752302;0;0;8466;66754.4462591912;40741.4910380274;26012.9552211638
Electricity;58.0040871233;2.9646270912;25.4719386789;1345.8335431351;0;1350.0129922776;6370.8902786764;20.4563797353;452.2016639323;246.7601615648;152.308577531;899.3576833697;2551.0579375229;293.7164736255;14029.8463214078;13464.4527490906;0;0;5363.3814945614;46626.7169093238;45405.8573412363;1220.8595680874
HeatGeoSol_Th;0;0;0;0;0;0;728.4013664073;0;62.7551754516;0;0;0;162.4118191433;40.7610815673;1156.45786365;1281.6843630019;0;0;0;3432.4716692213;3432.4716692213;0
Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Agri_Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
OthSectors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
