;2020;2022;2024;2026;2028;2030;2032
PrimEnergy;1.6915112;1.6915112;1.6915112;1.6915112;1.6915112;1.6915112;1.6915112
FinEnHTr;0.2962531;0.2962531;0.2962531;0.2962531;0.2962531;0.2962531;0.2962531
FinEnHRes;2.2196495;2.2196495;2.2196495;2.2196495;2.2196495;2.2196495;2.2196495
AllComp;2.4454106;2.4454106;2.4454106;2.4454106;2.4454106;2.4454106;2.4454106
