2040;PrimEnergy;FinEnHTr;FinEnHRes;AllComp;C;G;I;X;Tot_uses;Y;M
PrimEnergy;0;38403.0799218094;9880.57533726559;0;0;0;0;0;0;0;47301.0347476814
FinEnHTr;132.894175297732;0;564.420489108458;39286.2688835527;24671.5234205762;0;0;9169.964664681;0;0;31813.1397623627
FinEnHRes;65.4305300271694;1584.18117654966;14763.0087786009;55790.0403517626;30074.2270793861;0;0;24660.6693475727;0;0;56459.1562164947
AllComp;0;0;0;0;0;0;0;0;0;0;0
ktoe;0;0;0;0;0;0;0;0;0;0;0
