;2020;2022;2024;2026;2028;2030;2032
PrimEnergy;0.0001014;0.0001014;0.0001014;0.0001014;0.0001014;0.0001014;0.0001014
FinEnHTr;0.0002282;0.0002282;0.0002282;0.0002282;0.0002282;0.0002282;0.0002282
FinEnHRes;0.0015981;0.0015981;0.0015981;0.0015981;0.0015981;0.0015981;0.0015981
AllComp;0.0064792;0.0064792;0.0064792;0.0064792;0.0064792;0.0064792;0.0064792
