2045;PrimEnergy;FinEnHTr;FinEnHRes;AllComp;C;G;I;X;Tot_uses;Y;M
PrimEnergy;0;38788.0707980256;9979.62810502167;0;0;0;0;0;0;0;47775.2276210269
FinEnHTr;134.226439405092;0;570.07880451177;39680.1137291103;24918.8554428674;0;0;9261.89356044442;0;0;32132.0664884804
FinEnHRes;66.0864710906918;1600.06259284457;14911.0079416064;56349.335506289;30375.721205857;0;0;24907.8925577821;0;0;57025.1592575651
AllComp;0;0;0;0;0;0;0;0;0;0;0
ktoe;0;0;0;0;0;0;0;0;0;0;0
