Households_Groups;H1;H2;H3;H4
Population;0.25;0.25;0.25;0.25
Retired;0.25;0.25;0.25;0.25
Unemployed;0.25;0.25;0.25;0.25
Labour_force;0.25;0.25;0.25;0.25
Consumption_Units;0.25;0.25;0.25;0.25
Nb_Households;0.25;0.25;0.25;0.25
