Households_Gourps;H1;H2;H3;H4
GOS_byAgent;0.003701382;0.022749434;0.084667247;0.888881937
NetCompWages_byAgent;0.012861897;0.099801958;0.202418051;0.684918092
Property_income;0.001385944;0.019128557;0.089961457;0.889524043
Gov_social_transfers;0.019261128;0.135387882;0.216929379;0.62842161
Corp_social_transfers;0.00015128;0.002562127;0.020948126;0.976338468
ClimPolicyCompens;0;0;0;0
Other_Transfers;0.029077047;0.149631855;0.241321882;0.579969216
Income_Tax;0.02105703;0.070094054;0.167875802;0.740973113
Gov_Direct_Tax;0.007905547;0.047667773;0.136341577;0.808085102
Corp_Direct_Tax;0.000472158;0.003753845;0.043343317;0.952430682
FC_byAgent;0.030646913;0.140971953;0.232841441;0.595539693
GFCF_byAgent;0.009072703;0.053049014;0.113700946;0.824177338
NetFinancialDebt;0.003701382;0.022749434;0.084667247;0.888881937
