numero_simulation;last_commit;branch_name;SHA;uncommited_changes;Scenario;Country;Datehour;Model version;Commentary;Macro_nb;Proj_scenario;SystemOpt_Resol;study;Nb_Iter;AGG_type;Demographic_shift;Labour_product;World_prices;X_nonEnerg;Invest_matrix;Real_GDP_metadata;Non_energy_output_metadata;Energy_output_metadata;Non_energy_consumption_metadata;Energy_consumption_metadata;Unemployment_rate_metadata;Volume_of_investment_metadata;Real_Net_of_tax_wages_metadata;CPI_metadata;Emissions_MtCO2_metadata
93.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240610_20h58m41;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3414958,1;5959114,1;132699,41;2558552,8;250450,45;8,1760827;8,789e+08;48274,609;1,0833337;143,448
92.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240610_20h57m21;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3395661,7;5929456,9;132360,73;2541764,9;254758,53;8,5571536;8,659e+08;48055,196;1,0815241;355,21741
91.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240610_20h46m39;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3372969,6;5905483,7;135466,23;2512034,6;261874,21;8,9654871;7,978e+08;47831,709;1,0416798;145,16302
90.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240610_20h45m24;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3367203,2;5881381;135312,81;2516406,8;262444,18;9,1652232;8,502e+08;47726,434;1,0786419;372,77018
89.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240610_20h40m36;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3439378,9;5994106,1;124331,38;2578408,2;233236,08;7,7695779;8,654e+08;48521,425;1,0826498;143,87699
88.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240610_20h38m44;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3446021,3;6022929,3;122661,55;2582219,5;236372,5;7,5284149;8,303e+08;48674,661;1,067426;333,67651
87.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240610_20h25m42;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3442893,9;6004668,5;124424,26;2580964,7;233380,59;7,6680656;8,556e+08;48585,28;1,0784358;143,79356
86.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AME_run20606;FRA2018;20240610_20h21m27;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3467719,7;6087330,4;123203,09;2598382,3;237302,99;6,9326017;7,716e+08;49077,639;1,0416743;334,44281
85.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240610_14h12m28;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3389069,1;6082256,3;117735,14;2725856,6;122347,52;5,6691043;7,817e+08;50075,102;1,0920935;10,800547
84.0;"Decarb_indus itération 4
";master_merging_all_france_2;5dc691c08d;True;AMS_run20606;FRA2018;20240610_12h04m27;Model version;;SNBC3_run2;SNBC3test2_run2;SystemOpt_Static_neokeynesien;SNBC3_RunChoices;3;AGG_23TME;True;True;True;True;T;3389069,1;6082256,3;117735,14;2725856,6;122347,52;5,6691043;7,817e+08;50075,102;1,0920935;10,800547
