sector;2030;2040;2050
Crude_oil;0.0128378486735898;0.0128378486735898;0.0190313719088511
Liquid_fuels;0.0128378486735898;0.0128378486735898;0.0190313719088511
Gas_fuels;-0.0110737212812484;-0.0110737212812484;-0.0123051409633038
Solid_fuels;-0.0207484493987965;-0.0207484493987965;-0.0155451474076223
Elec_heating;-0.00178763591892384;-0.00178763591892384;0.00401323701851086
Steel_Iron;-0.0000332111743188701;-0.0000332111743188701;0.00256135387811951
NonFerrousMetals;-0.000599751893324951;-0.000599751893324951;0.00277281417834452
Cement;0.00600705340825214;0.00600705340825214;0.00481970385160202
OthMin;0.00282685936872284;0.00282685936872284;0.0017415444215283
ChemicalPharma;0.00152135491502192;0.00152135491502192;0.00190590588098472
Paper;0.00273611324940659;0.00273611324940659;0.00118906221459869
Auto_industry;-0.000801511439976532;-0.000801511439976532;0.00774204353363062
OthEquip;0.0000724439263282139;0.0000724439263282139;0.000575806630211728
Electronics;0.0000724439263282139;0.0000724439263282139;0.000575806630211728
Food_industry;0.00220238939860962;0.00220238939860962;0.000139344088924354
OthManuf;0.00308180389436274;0.00308180389436274;0.00279245905655467
LandTransp;0.00914307621456478;0.00914307621456478;0.00516757491345565
NavalTransp;0.0111197464490644;0.0111197464490644;0.00126269700977444
AirTransp;0.00762696097079152;0.00762696097079152;-0.00222732231181788
AgriForest_Fish;0.00283107640497127;0.00283107640497127;0.000497229923891895
Construction;;;
Property_business;-0.00228542488237093;-0.00228542488237093;0.000727781783581793
Compo;-0.00228542488237093;-0.00228542488237093;0.000727781783581793
