sector;2030;2040;2050
Crude;0;0;0
Liqui;27324.884;0;27324.884
Gas_f;9808.8264;0;9808.8264
Solid;38.14012;0;38.14012
Elec_;14910.406;0;14910.406
Steel;59.711181;0;59.711181
NonFe;102.33444;0;102.33444
Cemen;146.44061;0;146.44061
OthMi;971.04221;0;971.04221
Chemi;10127.754;0;10127.754
Paper;1483.0546;0;1483.0546
Auto_;21496.702;0;21496.702
OthEq;3978.6381;0;3978.6381
Elect;6916.5187;0;6916.5187
Food_;86390.131;0;86390.131
OthMa;57955.155;0;57955.155
LandT;28073.374;0;28073.374
Naval;260.71541;0;260.71541
AirTr;9050.1701;0;9050.1701
AgriF;17446.407;0;17446.407
Const;7420.7536;0;7420.7536
Prope;214963.08;0;214963.08
Compo;-15769.294;0;-15769.294
