sigma_ConsoBudget;H1;H2;H3;H4
Coal;1;1;1;1
CrudeOil;1.265833334;0.958333334;0.506333333;0.31
NaturalGas;1.2;1.25;1.511111111;1.44
FossilFuels;0.801666667;0.793333333;0.727777778;0.7
Biofuels;1.265833334;0.958333334;0.506333333;0.31
Electricity;0.605;0.433333334;0.303333334;0.27
PlantedForest;0.8015;0.793;0.727666667;0.69
Cattle;0.2;0.1;0.1;0.1
RestAgri;1;1;1;1
Cement;0.44;0.51;0.53;0.54
IronSteel;0.29;0.29;0.29;0.29
NonFerrousMetals;0.2;0.2;0.2;0.2
Chemical;0.2;0.2;0.2;0.2
FoodBeve;0.5;0.4;0.3;0.2
PaperPulp;0.5;0.5;0.5;0.5
RestIndus;0.2;0.2;0.2;0.2
FreightTransp;0.975;0.928333334;0.612666667;0.46
PassTransp;1;1;1;1
Comp;0.7;0.6;0.5;0.4
