sigma_ConsoBudget;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Coal;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
CrudeOil;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
NaturalGas;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
FossilFuels;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
Biofuels;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
Electricity;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
PlantedForest;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
Cattle;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
RestAgri;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
Cement;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
IronSteel;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
NonFerrousMetals;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
Chemical;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
FoodBeve;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
PaperPulp;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
RestIndus;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
FreightTransp;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
PassTransp;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
Comp;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
