sigma_ConsoBudget;H1;H2;H3
Coal;1;1;1
CrudeOil;1.26;0.858;0.337
NaturalGas;1.167;1.325;1.567
FossilFuels;0.787;0.8;0.7
Biofuels;1.26;0.858;0.337
Electricity;0.613;0.37;0.267
PlantedForest;0.787;0.8;0.7
Cattle;0;0;0
RestAgri;0.42;0.36;0.17
Cement;0.46;0.51;0.54
IronSteel;0.29;0.29;0.29
NonFerrousMetals;0.2;0.2;0.2
Chemical;0.2;0.2;0.2
FoodBeve;0.446;0.426;0.326
PaperPulp;0.446;0.426;0.326
RestIndus;0.2;0.2;0.2
FreightTransp;0.96;0.99;0.866666667
PassTransp;0.6705;0.515666667;0.476333333
Comp;0.96;0.99;0.866666667
