;Coal;Coke;Crude_Non_transport;Transport_fuels;Biomass;Natural_gas;Electricity;Renewable;Iron_Steel;Chem_Petrochem;Aluminium;Cement;Construction;Textile;Resid_industries;Agriculture;Air_transport;Water_transport;Road;Rail;Housing;Other_services;C;G;I;X
Coal;0.257718685672770000;0.823672117671937000;0.257718685672770000;0.257718685672770000;0.985616162007792000;0.725941229462642000;0.985616162007792000;0.985616162007792000;0.985616162007792000;0.985616162007792000;0.985616162007792000;0.985616162007792000;0.985616162007792000;0.823672117671937000;0.823672117671937000;0.725941229462642000;0.725941229462642000;0.238528451109222000;0.238528451109222000;0.239016769324439000;0.614923595158763000;0.266534257347803000;0.013904159427629300;0.000000000000000000;0.000000000000000000;0.430677328334770000
Coke;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;0.082906669225044600;0.000000000000000000;0.000000000000000000;0.000000000000000000
Crude_Non_transport;0.723003091835809000;1.000000000000000000;0.723003091835809000;0.723003091835809000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;0.669166875473458000;0.669166875473458000;0.670536801672173000;1.000000000000000000;0.747734265521218000;0.039006679819553800;0.000000000000000000;0.000000000000000000;1.000000000000000000
Transport_fuels;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;1.000000000000000000;0.841679360714763000;0.000000000000000000;0.000000000000000000;1.000000000000000000
Biomass;0.269550660637233000;0.216151795410563000;0.269550660637233000;0.269550660637233000;0.284251016347477000;0.305044449481951000;0.284251016347477000;0.284251016347477000;0.284251016347477000;0.284251016347477000;0.284251016347477000;0.284251016347477000;0.284251016347477000;0.216151795410563000;0.216151795410563000;0.305044449481951000;0.305044449481951000;0.265056110690002000;0.265056110690002000;0.268036446939287000;0.279193899107805000;0.264798421857170000;0.203390556109473000;0.000000000000000000;0.000000000000000000;0.000000000000000000
Natural_gas;0.125900140867252000;0.069608292447812700;0.125900140867252000;0.125900140867252000;0.106625936497762000;0.101348630617718000;0.106625936497762000;0.106625936497762000;0.106625936497762000;0.106625936497762000;0.106625936497762000;0.106625936497762000;0.106625936497762000;0.069608292447812700;0.069608292447812700;0.101348630617718000;0.101348630617718000;0.084894741389801500;0.084894741389801500;0.080203367279968600;0.101024537070022000;0.005561920427220440;0.074118625892319700;0.000000000000000000;0.048654745550840500;0.024355664403422200
Electricity;0.122669367043078000;0.098368165247879900;0.122669367043078000;0.122669367043078000;0.129359327757774000;0.138822177061235000;0.129359327757774000;0.129359327757774000;0.129359327757774000;0.129359327757774000;0.129359327757774000;0.129359327757774000;0.129359327757774000;0.098368165247879900;0.098368165247879900;0.138822177061235000;0.138822177061235000;0.120623949696049000;0.120623949696049000;0.121980266020450000;0.127057892586417000;0.120506678508722000;0.092560673832168800;0.000000000000000000;0.000000000000000000;0.000000000000000000
Renewable;0.537290404079759000;0.430851422230441000;0.537290404079759000;0.537290404079759000;0.566592354373633000;0.608039524507127000;0.566592354373633000;0.566592354373633000;0.566592354373633000;0.566592354373633000;0.566592354373633000;0.566592354373633000;0.566592354373633000;0.430851422230441000;0.430851422230441000;0.608039524507127000;0.608039524507127000;0.528331499836691000;0.528331499836691000;0.534272149597618000;0.556512095031071000;0.527817853397124000;0.405414677225134000;0.000000000000000000;0.000000000000000000;0.000000000000000000
Iron_Steel;0.549080550333244000;0.440305902048146000;0.549080550333244000;0.549080550333244000;0.579025494205365000;0.621382169131716000;0.579025494205365000;0.579025494205365000;0.579025494205365000;0.579025494205365000;0.579025494205365000;0.579025494205365000;0.579025494205365000;0.440305902048146000;0.440305902048146000;0.621382169131716000;0.621382169131716000;0.539925054469528000;0.539925054469528000;0.545996064141948000;0.568724036548038000;0.539400136720071000;0.414310980418898000;0.000000000000000000;0.000000000000000000;0.414310980418898000
Chem_Petrochem;0.435152452530503000;0.348947332087472000;0.435152452530503000;0.435152452530503000;0.458884154115877000;0.492452290820142000;0.458884154115877000;0.458884154115877000;0.458884154115877000;0.458884154115877000;0.458884154115877000;0.458884154115877000;0.458884154115877000;0.348947332087472000;0.348947332087472000;0.492452290820142000;0.492452290820142000;0.427896620072386000;0.427896620072386000;0.432707962864780000;0.450720134171073000;0.427480616908707000;0.328346067130190000;0.000000000000000000;0.000000000000000000;0.000000000000000000
