Sociodemograhicvariables;value;units
Population;1263011.0000000;Thousandsofpeople
Retired;67218.0000000;Thousandsofpeople
Unemployed;267464.0716800;Thousandsofpeople
Labour_force;722148.0000000;Thousandsofpeople
Consumption_Units;0.0000000;0
Nb_Households;251598.0000000;Thousandsofpeople
