;Coal;Coke;Crude_Non_transport;Transport_fuels;Biomass;Natural_gas;Electricity;Renewable;Iron_Steel;Chem_Petrochem;Aluminium;Cement;Construction;Textile;Resid_industries;Agriculture;Air_transport;Water_transport;Road;Rail;Housing;Other_services
Labour;545.4570769;45.45475641;90.90951281;90.90951281;643.9482315;181.8190256;888.3689101;248;90.90951281;1909.099769;181.8190256;181.8190256;48182.04179;18090.99305;81909.47104;221629.8106;90.90951281;136.3642692;15772.80047;1000.004641;6082.658851;56690.35974
ThousandofFull-timeequivalent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
