;Corporations;Government;Households;RestOfWorld
Trade_Balance;0.000000000000;0.000000000000;0.000000000000;72205467.252390900000
GOS_byAgent;407916716.649928000000;85236328.852223700000;115677874.870875000000;0.000000000000
NetCompWages_byAgent;0.000000000000;0.000000000000;301465269.736074000000;0.000000000000
InsuranceContrib_byAgent;0.000000000000;3479667.000000000000;0.000000000000;0.000000000000
Production_Tax_byAgent;0.000000000000;1351693.581977880000;0.000000000000;0.000000000000
Energ_Tax_byAgent;0.000000000000;0.000000000000;0.000000000000;0.000000000000
Carbon_Tax_byAgent;0;0;0;0
OtherIndirTax_byAgent;0.000000000000;57776455.070102400000;0.000000000000;0.000000000000
VA_Tax_byAgent;0.000000000000;0.000000000000;0.000000000000;0.000000000000
Property_income;-240528112.649928000000;-114438656.704304000000;400544615.593051000000;-45577846.238819000000
Unemployment_transfers;0.000000000000;0.000000000000;0.000000000000;0.000000000000
Pensions;0.000000000000;-616009.000000000000;616009.000000000000;0.000000000000
Other_social_transfers;0.000000000000;-34750.000000000000;34750.000000000000;0.000000000000
ClimPolicyCompens;0.000000000000;0.000000000000;0.000000000000;0.000000000000
Other_Transfers;-972904.000000000000;291871.200000000000;194580.800000000000;486452.000000000000
Income_Tax;0.000000000000;18986600.000000000000;-18986600.000000000000;0.000000000000
Corporate_Tax;-37322700.000000000000;37322700.000000000000;0.000000000000;0.000000000000
Other_Direct_Tax;0.000000000000;947500.000000000000;-947500.000000000000;0.000000000000
Disposable_Income;129093000.000000000000;90303400.000000000000;798599000.000000000000;27114073.013571900000
FC_byAgent;0.000000000000;106136000.000000000000;579454673.013573000000;0.000000000000
GFCF_byAgent;176164212.000000000000;35951880.000000000000;147402708.000000000000;0.000000000000
Tot_FC_byAgent;176164212.000000000000;142087880.000000000000;726857381.013573000000;0.000000000000
NetLending;-47071211.999999900000;-51784480.000000000000;71741618.986427100000;27114073.013571900000
NetFinancialDebt;-8017603754.997600000000;-3814621890.143470000000;13351487186.435000000000;-1519261541.293970000000
LakhRs;0;0;0;0
