CarbonTax_Diff_C;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;1;1;1;1;1;1;1;1;1;1
Natural_gas;1;1;1;1;1;1;1;1;1;1
Coal;1;1;1;1;1;1;1;1;1;1
FuelProd;1;1;1;1;1;1;1;1;1;1
Electricty;1;1;1;1;1;1;1;1;1;1
HeatGeoSol_Th;1;1;1;1;1;1;1;1;1;1
Steel_Iron;1;1;1;1;1;1;1;1;1;1
NonFerrousMetals;1;1;1;1;1;1;1;1;1;1
Cement;1;1;1;1;1;1;1;1;1;1
OthMin;1;1;1;1;1;1;1;1;1;1
Buildings_constr;1;1;1;1;1;1;1;1;1;1
ChemicalPharma;1;1;1;1;1;1;1;1;1;1
Paper;1;1;1;1;1;1;1;1;1;1
Mining;1;1;1;1;1;1;1;1;1;1
TranspEquipment;1;1;1;1;1;1;1;1;1;1
Transport_serv;1;1;1;1;1;1;1;1;1;1
Agriculture;1;1;1;1;1;1;1;1;1;1
Food_industry;1;1;1;1;1;1;1;1;1;1
Composite;1;1;1;1;1;1;1;1;1;1
