IC_Q;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;FC_Q;C;G;I;X
Crude;0;0;0;-8.9;0;0;0;0;0;0;0;0;0;0;0;Crude;0;0;0;0
Natur;-13.5;0;-14.5;-8.9;-9.7;-10.2;-7.4;-5;-4.9;-4.1;-5.4;-7;-5.7;-4.7;-4.4;Natur;-5;0;0;0
Coal ;0;0;-14.5;0;-9.7;-10.2;-7.4;0;-4.9;-4.1;0;0;-5.7;-4.7;-4.4;Coal ;-5;0;0;0
AllFu;0;0;0;0;-9.7;-10.2;-7.4;-5;-4.9;-4.1;-5.4;-7;-5.7;-4.7;-4.4;AllFu;-5;0;0;0
Elect;-13.5;-10.2;-14.5;-8.9;0;-10.2;-7.4;-5;-4.9;-4.1;-5.4;-7;-5.7;-4.7;-4.4;Elect;-5;0;0;0
HeatG;0;0;0;0;0;0;-7.4;0;-4.9;0;0;0;-5.7;-4.7;-4.4;HeatG;-5;0;0;0
Heavy;0;-5.5;-10;-4.2;-4.9;-5.4;-2.6;0; 0.1; 1;-0.4;-2.1;-0.7; 0.3; 0.6;Heavy;-2;-2.1;-2.2;-1.6
Build;0;0;0;0;0;0;0;0;0;0;0;0;0; 0.3;0;Build;0;0;0;0
Work_;-8.9;-5.5;-10;-4.2;-4.9;-5.4;-2.6;0; 0.1; 1;-0.4;-2.1;-0.7; 0.3; 0.6;Work_; 0.3;0; 0.1;0
Autom;0;-5.5;-10;-4.2;-4.9;-5.4;-2.6;0; 0.1; 1;-0.4;-2.1;-0.7; 0.3; 0.6;Autom;-0.5;0;-0.7; 1.6
Load_;0;-5.5;-10;-4.2;-4.9;-5.4;-2.6;0; 0.1; 1;-0.4;-2.1;-0.7; 0.3; 0.6;Load_;-8.1;-8.1;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PassT;-2.1;0;0;0
Agri_;0;-5.5;-10;-4.2;-4.9;-5.4;-2.6;0; 0.1; 1;-0.4;-2.1;-0.7; 0.3; 0.6;Agri_;-1.1;-1.1;-1.3;-0.2
Prope;0;-5.5;-10;-4.2;-4.9;-5.4;-2.6;0; 0.1; 1;-0.4;-2.1;-0.7; 0.3; 0.6;Prope; 0.3; 0.3; 0.1;0
OthSe;-8.9;-5.5;-10;-4.2;-4.9;-5.4;-2.6;0; 0.1; 1;-0.4;-2.1;-0.7; 0.3; 0.6;OthSe; 0.2; 0.2;0; 1.6
OthQ;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;;;;;
Y;-8.9;-5.5;-10;-4.2;-4.9;-5.4;-2.6;0;0.1;1;-0.4;-2.1;-0.7;0.3;0.6;;;;;
M;-8.9;-5.5;-10;-4.2;-4.9;-52.3;0.7;-41.2;-41.9;-0.5;-0.4;-2.1;-0.4;-44.9;-1.6;;;;;
Labour;-8.9;-5.5;-10;-4.2;-4.9;-5.4;-2.6;0;0.1;1;-0.4;-2.1;-0.7;0.3;0.6;;;;;
Capital_consumption;-8.9;-5.5;-10;-4.2;-4.9;-5.4;-2.6;0;0.1;1;-0.4;-2.1;-0.7;0.3;0.6;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 ktoe / ktons;;;;;;;;;;;;;;;;;;;
